date,payrolls
12/31/1899,17710
01/01/1901,18639
01/01/1902,20141
01/01/1903,20088
01/01/1904,20477
01/01/1905,22123
01/01/1906,23431
01/01/1907,23691
01/01/1908,22741
01/01/1909,24996
01/01/1910,25824
01/01/1911,25455
01/01/1912,26542
01/01/1913,26870
01/01/1914,26003
01/01/1915,26179
01/01/1916,28563
01/01/1917,30714
01/01/1918,30714
01/01/1919,30270
01/01/1920,30260
01/01/1921,26610
01/01/1922,28984
01/01/1923,32055
01/01/1924,31598
01/01/1925,33210
01/01/1926,34442
01/01/1927,34544
01/01/1928,35246
01/01/1929,37125
01/01/1930,34646
01/01/1931,31113
01/01/1932,27405
01/01/1933,27548
01/01/1934,30361
01/01/1935,31254
01/01/1936,33492
01/01/1937,35073
01/01/1938,32287
01/01/1939,29923
02/01/1939,30101
03/01/1939,30280
04/01/1939,30094
05/01/1939,30300
06/01/1939,30502
07/01/1939,30419
08/01/1939,30663
09/01/1939,31032
10/01/1939,31408
11/01/1939,31469
12/01/1939,31539
01/01/1940,31603
02/01/1940,31715
03/01/1940,31826
04/01/1940,31700
05/01/1940,31880
06/01/1940,31978
07/01/1940,31942
08/01/1940,32352
09/01/1940,32810
10/01/1940,33265
11/01/1940,33668
12/01/1940,34172
01/01/1941,34480
02/01/1941,34844
03/01/1941,35094
04/01/1941,35469
05/01/1941,36182
06/01/1941,36651
07/01/1941,37137
08/01/1941,37544
09/01/1941,37835
10/01/1941,37948
11/01/1941,38024
12/01/1941,38104
01/01/1942,38347
02/01/1942,38513
03/01/1942,38936
04/01/1942,39352
05/01/1942,39772
06/01/1942,40028
07/01/1942,40471
08/01/1942,40988
09/01/1942,41255
10/01/1942,41515
11/01/1942,41673
12/01/1942,41915
01/01/1943,42172
02/01/1943,42395
03/01/1943,42553
04/01/1943,42647
05/01/1943,42596
06/01/1943,42781
07/01/1943,42701
08/01/1943,42546
09/01/1943,42485
10/01/1943,42675
11/01/1943,42820
12/01/1943,42746
01/01/1944,42655
02/01/1944,42544
03/01/1944,42292
04/01/1944,42063
05/01/1944,41985
06/01/1944,41947
07/01/1944,41905
08/01/1944,41850
09/01/1944,41672
10/01/1944,41709
11/01/1944,41712
12/01/1944,41861
01/01/1945,41897
02/01/1945,41904
03/01/1945,41796
04/01/1945,41443
05/01/1945,41304
06/01/1945,41149
07/01/1945,40873
08/01/1945,40467
09/01/1945,38500
10/01/1945,38599
11/01/1945,38997
12/01/1945,39112
01/01/1946,39832
02/01/1946,39251
03/01/1946,40193
04/01/1946,40909
05/01/1946,41349
06/01/1946,41733
07/01/1946,42153
08/01/1946,42643
09/01/1946,42909
10/01/1946,43094
11/01/1946,43397
12/01/1946,43379
01/01/1947,43539
02/01/1947,43563
03/01/1947,43606
04/01/1947,43492
05/01/1947,43638
06/01/1947,43808
07/01/1947,43743
08/01/1947,43959
09/01/1947,44201
10/01/1947,44415
11/01/1947,44487
12/01/1947,44579
01/01/1948,44682
02/01/1948,44537
03/01/1948,44681
04/01/1948,44370
05/01/1948,44795
06/01/1948,45033
07/01/1948,45160
08/01/1948,45176
09/01/1948,45295
10/01/1948,45251
11/01/1948,45194
12/01/1948,45029
01/01/1949,44671
02/01/1949,44500
03/01/1949,44238
04/01/1949,44230
05/01/1949,43982
06/01/1949,43739
07/01/1949,43529
08/01/1949,43622
09/01/1949,43784
10/01/1949,42950
11/01/1949,43245
12/01/1949,43517
01/01/1950,43528
02/01/1950,43298
03/01/1950,43952
04/01/1950,44376
05/01/1950,44718
06/01/1950,45084
07/01/1950,45454
08/01/1950,46188
09/01/1950,46442
10/01/1950,46712
11/01/1950,46778
12/01/1950,46855
01/01/1951,47288
02/01/1951,47577
03/01/1951,47871
04/01/1951,47856
05/01/1951,47953
06/01/1951,48068
07/01/1951,48062
08/01/1951,48009
09/01/1951,47955
10/01/1951,48009
11/01/1951,48148
12/01/1951,48309
01/01/1952,48298
02/01/1952,48522
03/01/1952,48504
04/01/1952,48616
05/01/1952,48645
06/01/1952,48286
07/01/1952,48144
08/01/1952,48923
09/01/1952,49319
10/01/1952,49598
11/01/1952,49816
12/01/1952,50164
01/01/1953,50145
02/01/1953,50339
03/01/1953,50475
04/01/1953,50432
05/01/1953,50491
06/01/1953,50522
07/01/1953,50536
08/01/1953,50487
09/01/1953,50365
10/01/1953,50242
11/01/1953,49907
12/01/1953,49702
01/01/1954,49468
02/01/1954,49382
03/01/1954,49158
04/01/1954,49178
05/01/1954,48965
06/01/1954,48896
07/01/1954,48835
08/01/1954,48825
09/01/1954,48882
10/01/1954,48944
11/01/1954,49178
12/01/1954,49331
01/01/1955,49497
02/01/1955,49644
03/01/1955,49963
04/01/1955,50247
05/01/1955,50512
06/01/1955,50790
07/01/1955,50985
08/01/1955,51111
09/01/1955,51262
10/01/1955,51431
11/01/1955,51592
12/01/1955,51805
01/01/1956,51975
02/01/1956,52167
03/01/1956,52295
04/01/1956,52375
05/01/1956,52506
06/01/1956,52584
07/01/1956,51954
08/01/1956,52630
09/01/1956,52601
10/01/1956,52781
11/01/1956,52822
12/01/1956,52930
01/01/1957,52888
02/01/1957,53097
03/01/1957,53157
04/01/1957,53238
05/01/1957,53149
06/01/1957,53066
07/01/1957,53123
08/01/1957,53126
09/01/1957,52932
10/01/1957,52765
11/01/1957,52559
12/01/1957,52385
01/01/1958,52077
02/01/1958,51576
03/01/1958,51300
04/01/1958,51027
05/01/1958,50913
06/01/1958,50912
07/01/1958,51037
08/01/1958,51231
09/01/1958,51506
10/01/1958,51486
11/01/1958,51944
12/01/1958,52088
01/01/1959,52480
02/01/1959,52687
03/01/1959,53016
04/01/1959,53320
05/01/1959,53549
06/01/1959,53679
07/01/1959,53803
08/01/1959,53334
09/01/1959,53429
10/01/1959,53359
11/01/1959,53635
12/01/1959,54175
01/01/1960,54274
02/01/1960,54513
03/01/1960,54458
04/01/1960,54812
05/01/1960,54473
06/01/1960,54347
07/01/1960,54304
08/01/1960,54271
09/01/1960,54228
10/01/1960,54144
11/01/1960,53962
12/01/1960,53744
01/01/1961,53683
02/01/1961,53556
03/01/1961,53662
04/01/1961,53626
05/01/1961,53785
06/01/1961,53977
07/01/1961,54123
08/01/1961,54298
09/01/1961,54388
10/01/1961,54522
11/01/1961,54743
12/01/1961,54871
01/01/1962,54891
02/01/1962,55187
03/01/1962,55276
04/01/1962,55602
05/01/1962,55627
06/01/1962,55644
07/01/1962,55746
08/01/1962,55838
09/01/1962,55977
10/01/1962,56041
11/01/1962,56056
12/01/1962,56028
01/01/1963,56116
02/01/1963,56230
03/01/1963,56322
04/01/1963,56580
05/01/1963,56616
06/01/1963,56658
07/01/1963,56794
08/01/1963,56910
09/01/1963,57077
10/01/1963,57284
11/01/1963,57255
12/01/1963,57360
01/01/1964,57487
02/01/1964,57751
03/01/1964,57898
04/01/1964,57922
05/01/1964,58089
06/01/1964,58221
07/01/1964,58413
08/01/1964,58619
09/01/1964,58903
10/01/1964,58794
11/01/1964,59217
12/01/1964,59421
01/01/1965,59583
02/01/1965,59800
03/01/1965,60003
04/01/1965,60259
05/01/1965,60492
06/01/1965,60690
07/01/1965,60963
08/01/1965,61228
09/01/1965,61490
10/01/1965,61718
11/01/1965,61997
12/01/1965,62321
01/01/1966,62528
02/01/1966,62796
03/01/1966,63192
04/01/1966,63436
05/01/1966,63711
06/01/1966,64110
07/01/1966,64301
08/01/1966,64507
09/01/1966,64644
10/01/1966,64854
11/01/1966,65019
12/01/1966,65200
01/01/1967,65407
02/01/1967,65428
03/01/1967,65530
04/01/1967,65467
05/01/1967,65619
06/01/1967,65750
07/01/1967,65887
08/01/1967,66142
09/01/1967,66164
10/01/1967,66225
11/01/1967,66703
12/01/1967,66900
01/01/1968,66805
02/01/1968,67215
03/01/1968,67295
04/01/1968,67555
05/01/1968,67653
06/01/1968,67904
07/01/1968,68125
08/01/1968,68328
09/01/1968,68487
10/01/1968,68720
11/01/1968,68985
12/01/1968,69246
01/01/1969,69438
02/01/1969,69700
03/01/1969,69905
04/01/1969,70072
05/01/1969,70328
06/01/1969,70636
07/01/1969,70729
08/01/1969,71006
09/01/1969,70917
10/01/1969,71120
11/01/1969,71087
12/01/1969,71240
01/01/1970,71176
02/01/1970,71304
03/01/1970,71452
04/01/1970,71348
05/01/1970,71123
06/01/1970,71029
07/01/1970,71053
08/01/1970,70933
09/01/1970,70948
10/01/1970,70519
11/01/1970,70409
12/01/1970,70790
01/01/1971,70866
02/01/1971,70806
03/01/1971,70859
04/01/1971,71037
05/01/1971,71247
06/01/1971,71253
07/01/1971,71315
08/01/1971,71370
09/01/1971,71617
10/01/1971,71642
11/01/1971,71846
12/01/1971,72108
01/01/1972,72445
02/01/1972,72652
03/01/1972,72945
04/01/1972,73163
05/01/1972,73467
06/01/1972,73760
07/01/1972,73708
08/01/1972,74138
09/01/1972,74263
10/01/1972,74673
11/01/1972,74967
12/01/1972,75270
01/01/1973,75621
02/01/1973,76017
03/01/1973,76285
04/01/1973,76455
05/01/1973,76646
06/01/1973,76887
07/01/1973,76911
08/01/1973,77166
09/01/1973,77276
10/01/1973,77606
11/01/1973,77912
12/01/1973,78035
01/01/1974,78104
02/01/1974,78254
03/01/1974,78296
04/01/1974,78382
05/01/1974,78547
06/01/1974,78602
07/01/1974,78635
08/01/1974,78619
09/01/1974,78611
10/01/1974,78629
11/01/1974,78261
12/01/1974,77657
01/01/1975,77297
02/01/1975,76919
03/01/1975,76649
04/01/1975,76461
05/01/1975,76623
06/01/1975,76520
07/01/1975,76769
08/01/1975,77155
09/01/1975,77230
10/01/1975,77535
11/01/1975,77680
12/01/1975,78018
01/01/1976,78506
02/01/1976,78817
03/01/1976,79049
04/01/1976,79292
05/01/1976,79311
06/01/1976,79376
07/01/1976,79547
08/01/1976,79704
