Year	Age	both	male	female	ratio			
2013	0	"22,831"	"11,569"	"11,262"	102.7			
2013	1	"21,828"	"11,069"	"10,759"	102.9			
2013	2	"21,264"	"10,793"	"10,471"	103.1			
2013	3	"20,813"	"10,570"	"10,243"	103.2			
2013	4	"20,403"	"10,366"	"10,037"	103.3			
2013	5	"20,014"	"10,170"	"9,844"	103.3			
2013	6	"19,634"	"9,980"	"9,654"	103.4			
2013	7	"19,262"	"9,792"	"9,470"	103.4			
2013	8	"18,858"	"9,589"	"9,269"	103.5			
2013	9	"18,433"	"9,377"	"9,056"	103.5			
2013	10	"18,014"	"9,165"	"8,849"	103.6			
2013	11	"17,610"	"8,964"	"8,646"	103.7			
2013	12	"17,136"	"8,724"	"8,412"	103.7			
2013	13	"16,613"	"8,460"	"8,153"	103.8			
2013	14	"16,118"	"8,209"	"7,909"	103.8			
2013	15	"15,629"	"7,961"	"7,668"	103.8			
2013	16	"15,158"	"7,720"	"7,438"	103.8			
2013	17	"14,703"	"7,489"	"7,214"	103.8			
2013	18	"14,254"	"7,260"	"6,994"	103.8			
2013	19	"13,817"	"7,040"	"6,777"	103.9			
2013	20	"13,411"	"6,829"	"6,582"	103.8			
2013	21	"13,002"	"6,614"	"6,388"	103.5			
2013	22	"12,609"	"6,415"	"6,194"	103.6			
2013	23	"12,223"	"6,209"	"6,014"	103.2			
2013	24	"11,837"	"6,010"	"5,827"	103.1			
2013	25	"11,468"	"5,816"	"5,652"	102.9			
2013	26	"11,092"	"5,621"	"5,471"	102.7			
2013	27	"10,728"	"5,435"	"5,293"	102.7			
2013	28	"10,324"	"5,221"	"5,103"	102.3			
2013	29	"10,009"	"5,061"	"4,948"	102.3			
2013	30	"9,668"	"4,885"	"4,783"	102.1			
2013	31	"9,453"	"4,763"	"4,690"	101.6			
2013	32	"9,138"	"4,599"	"4,539"	101.3			
2013	33	"8,791"	"4,426"	"4,365"	101.4			
2013	34	"8,438"	"4,250"	"4,188"	101.5			
2013	35	"8,121"	"4,099"	"4,022"	101.9			
2013	36	"7,871"	"3,969"	"3,902"	101.7			
2013	37	"7,651"	"3,862"	"3,789"	101.9			
2013	38	"7,437"	"3,754"	"3,683"	101.9			
2013	39	"7,198"	"3,635"	"3,563"	102			
2013	40	"7,007"	"3,540"	"3,467"	102.1			
2013	41	"6,859"	"3,464"	"3,395"	102			
2013	42	"6,706"	"3,376"	"3,330"	101.4			
2013	43	"6,553"	"3,282"	"3,271"	100.3			
2013	44	"6,306"	"3,104"	"3,202"	96.9			
2013	45	"6,084"	"2,940"	"3,144"	93.5			
2013	46	"5,936"	"2,837"	"3,099"	91.5			
2013	47	"5,730"	"2,708"	"3,022"	89.6			
2013	48	"5,468"	"2,551"	"2,917"	87.5			
2013	49	"5,151"	"2,376"	"2,775"	85.6			
2013	50	"4,819"	"2,194"	"2,625"	83.6			
2013	51	"4,504"	"2,016"	"2,488"	81			
2013	52	"4,234"	"1,870"	"2,364"	79.1			
2013	53	"4,015"	"1,755"	"2,260"	77.7			
2013	54	"3,792"	"1,653"	"2,139"	77.3			
2013	55	"3,612"	"1,567"	"2,045"	76.6			
2013	56	"3,432"	"1,480"	"1,952"	75.8			
2013	57	"3,259"	"1,400"	"1,859"	75.3			
2013	58	"3,104"	"1,335"	"1,769"	75.5			
2013	59	"2,954"	"1,271"	"1,683"	75.5			
2013	60	"2,814"	"1,216"	"1,598"	76.1			
2013	61	"2,686"	"1,165"	"1,521"	76.6			
2013	62	"2,584"	"1,119"	"1,465"	76.4			
2013	63	"2,490"	"1,068"	"1,422"	75.1			
2013	64	"2,420"	"1,026"	"1,394"	73.6			
2013	65	"2,344"	980	"1,364"	71.8			
2013	66	"2,286"	943	"1,343"	70.2			
2013	67	"2,205"	902	"1,303"	69.2			
2013	68	"2,131"	875	"1,256"	69.7			
2013	69	"2,035"	842	"1,193"	70.6			
2013	70	"1,939"	811	"1,128"	71.9			
2013	71	"1,842"	777	"1,065"	73			
2013	72	"1,736"	741	995	74.5			
2013	73	"1,612"	694	918	75.6			
2013	74	"1,485"	651	834	78.1			
2013	75	"1,357"	601	756	79.5			
2013	76	"1,229"	552	677	81.5			
2013	77	"1,093"	494	599	82.5			
2013	78	958	433	525	82.5			
2013	79	820	369	451	81.8			
2013	80	690	309	381	81.1			
2013	81	580	255	325	78.5			
2013	82	480	208	272	76.5			
2013	83	403	173	230	75.2			
2013	84	330	138	192	71.9			
