date,employees,farmComp,allComp
01/01/1929,37699,1.3,51.4
01/01/1930,35590,1.2,47.2
01/01/1931,32724,0.9,40.1
01/01/1932,29445,0.7,31.4
01/01/1933,30940,0.6,29.8
01/01/1934,34238,0.7,34.6
01/01/1935,35577,0.8,37.7
01/01/1936,38599,0.9,43.3
01/01/1937,39701,1.0,48.4
01/01/1938,38322,1.0,45.5
01/01/1939,39633,1.0,48.6
01/01/1940,41437,1.0,52.8
01/01/1941,45785,1.3,66.2
01/01/1942,50219,1.6,88.1
01/01/1943,55995,2.0,112.8
01/01/1944,57221,2.2,124.4
01/01/1945,55548,2.3,126.4
01/01/1946,49643,2.5,122.6
01/01/1947,49936,2.8,132.5
01/01/1948,51332,3.0,144.5
01/01/1949,50358,2.8,144.5
01/01/1950,52424,2.8,158.5
01/01/1951,56415,2.9,185.9
01/01/1952,57702,2.9,201.3
01/01/1953,58918,2.7,215.5
01/01/1954,57387,2.6,214.4
01/01/1955,59080,2.6,230.9
01/01/1956,60845,2.6,249.6
01/01/1957,61308,2.7,263.0
01/01/1958,59839,2.9,265.1
01/01/1959,61587,3.0,286.3
01/01/1960,62680,3.1,301.9
01/01/1961,62881,3.2,311.1
01/01/1962,64573,3.3,332.9
01/01/1963,65619,3.4,351.2
01/01/1964,67275,3.5,376.8
01/01/1965,69692,3.6,406.3
01/01/1966,73516,3.6,450.3
01/01/1967,75442,3.6,482.9
01/01/1968,77602,3.8,532.1
01/01/1969,79850,4.0,586.0
01/01/1970,79750,4.2,625.1
01/01/1971,79554,4.2,667.0
01/01/1972,81583,4.3,733.6
01/01/1973,85202,5.1,815.0
01/01/1974,86573,6.0,890.3
01/01/1975,85044,6.5,950.2
01/01/1976,87402,7.3,1051.2
01/01/1977,90421,7.8,1169.0
01/01/1978,94777,8.2,1320.2
01/01/1979,98017,8.9,1481.0
01/01/1980,98370,9.2,1626.2
01/01/1981,99225,9.0,1795.3
01/01/1982,97305,10.0,1894.3
01/01/1983,98041,9.7,2013.9
01/01/1984,102458,9.7,2217.4
01/01/1985,104987,9.9,2389.0
01/01/1986,106873,9.3,2543.8
01/01/1987,109754,9.4,2724.3
01/01/1988,112864,10.6,2950.0
01/01/1989,115501,11.4,3142.6
01/01/1990,116964,13.4,3342.7
01/01/1991,115525,13.2,3452.0
01/01/1992,115968,13.0,3671.1
01/01/1993,117604,14.2,3820.7
01/01/1994,120379,14.4,4010.1
01/01/1995,123236,15.5,4202.6
01/01/1996,125461,16.0,4422.1
01/01/1997,128316,17.1,4714.7
01/01/1998,131563,18.2,5077.8
01/01/1999,134350,18.9,5410.3
01/01/2000,137228,19.7,5856.6
01/01/2001,136890,20.9,6046.5
01/01/2002,135937,20.8,6141.9
01/01/2003,135602,20.5,6365.4
01/01/2004,137067,22.2,6740.5
01/01/2005,139006,22.0,7087.8
01/01/2006,141440,21.9,7503.2
01/01/2007,142928,25.0,7899.1
01/01/2008,142000,25.7,8079.2
01/01/2009,136170,25.6,7787.8
01/01/2010,134846,24.2,7967.3
01/01/2011,136542,23.1,8278.5
01/01/2012,138756,23.1,8611.6
01/01/2013,,,8859.4
