Row Labels	Agricultural	CertifiedOrganic	BecomingOrganic	Irrigated	TotalOrganic	Arable	ArablePermanent	ArableOrganic	ArableBecomingORganic	ArableTotalOrganic	CountryArea	FallowLand	Forest	InlandWater	LandArea	OtherLand	CultivatedPastures	GrownPastures	PermanentCrops	PermanentOrganicCrops	PermanentCropsBecomingOrganic	PermanentOrganicTotal	PermanentMeadows	PermanentPasturesOrganic	PermanentPasturesBecomingOrganic	PermanentPasturesOrganicTotal	TemporaryCrops	TemporaryPasturs	TotalIrrigated
Afghanistan	37910	0.04	0.02	2044	0.06	7791	7910				65223	4710	1350		65223	25963		30000	119				30000				3081		3208
Albania	1201					622	696				2875	213	775.16	135	2740	763.84			74				505				205	204	331
Algeria	41383	0.69			0.69	7510	8420				238174		1483.2		238174	195307.8	25	32938	910				32963						570
American Samoa	4.9					3	4.9				20		17.68		20				1.9										
Andorra	20.3					2.5	2.5				47	0.5	16		47	10.7							17.8				2		
Angola	58390					4100	4390				124670		58355.2		124670	7924.8			290				54000						86
Anguilla											9.06		5.5		9	3.5													
Antigua and Barbuda	9					4	5				44		9.8		44	25.2			1				4						0.13
Argentina	147548	3796			3796	38048	39048				278040	3000	29160.2	4371	273669	96960.8			1000				108500				30648	4400	1650
Armenia	1710.6	0.3	0.45		0.75	430.2	483.6				2974	136	257.8	126	2848	879.6	127	1100	53.4				1227				294.2		274
Aruba	2					2	2				18		0.42		18	15.58													
Australia	409672.6	11200		1963	11200	47678	48078				774122		148376	5892	768230	210181.4			400				361594.6				32078		2550
Austria	2869				542.6	1363	1428				8387.9	41	3892	147	8240.9	1479.9	570	871	65				1441				1263	59	117
Azerbaijan	4768.7	18.24	3.72	1404.6	21.96	1885.7	2112.9				8660	41.9	936	394.2	8265.8	2561.1	2655.8		227.2				2655.8				1843.8		1424.4
Bahamas	15					9	13				1388		515	387	1001	471			4				2						1
Bahrain	8.36					1.36	4.36				76		0.54		76	67.1			3				4						4
Bangladesh	9128				6.8	7628	8528				14400	467	1439.4	1383	13017	2449.6			900				600						5264
Barbados	15					12	13				43		8.36		43	19.64			1				2						5
Belarus	8875			30		5529	5651				20760	22	8668.8	469	20291	2747.2	2208	1016	122				3224						115
Belgium	1337				59.2	826	848				3053	8	678.84	25	3028	1012.16			22				489				738	80	23
Belgium-Luxembourg																													
Belize	157	1.13	0.07		1.2	75	107				2297		1383.4	16	2281	740.6			32				50						4
Benin	3430	1.7			1.7	2580	2880				11476		4511	200	11276	3335			300				550						12
Bermuda	0.74					0.74	0.74				5		1		5	3.26													
Bhutan	520		21		21	95.4	113				3839.4		3259.8		3839.4	60			17.6				407						32
Bolivia (Plurinational State of)	37055	26.1	6.6		32.7	3836	4055				109858		56888.4	1528	108330	14386.6			219				33000						175
Bosnia and Herzegovina	2151	0.3	0.04		0.34	1005	1107				5121	478	2185	21	5100	764			102				1044				527		3
Botswana	25861					259	261				58173	16	11232.6	1500	56673	19579.4			2				25600				243		2
Brazil	275030				687.04	71930	79030				851488		517327.6	5546	845942	53584.4			7100				196000						5400
British Virgin Islands	7					1	2				15		3.64		15	4.36			1				5						
Brunei Darussalam	11.4					3	8				577		378.2	50	527	137.4		3.4	5				3.4						1
Bulgaria	5088	8.9	16.12		25.02	3250	3410				11100	174	3982.2	244	10856	1785.8			160				1678				2991	85	102
Burkina Faso	11765				19.7	5700	5765				27422		5589	62	27360	10006			65				6000						30
Burundi	2220				0.55	920	1320				2783		170.2	215	2568	177.8			400				900						23
Cabo Verde	75					47	50				403		84.79		403	243.21			3				25						3.5
Cambodia	5655	7.74	0.53		8.27	4000	4155				18104		9966.6	452	17652	2030.4			155				1500						354
Cameroon	9600				0.8	6200	7600				47544		19696	273	47271	17975			1400				2000						29
Canada	62597				841.2	42968	47894				998467	2085	310134	89116	909351	536620			4926				14703				35350	5533	855
Cayman Islands	2.7					0.2	0.7				26.4		12.7	2.4	24	8.6			0.5				2						
Central African Republic	5080					1800	1880				62298		22575		62298	34643			80				3200						1
Chad	49932					4900	4932				128400		11445.8	2480	125920	64542.2			32				45000						30
Channel Islands	9.6	0.25		0.41	0.25	4.36	4.4				19		0.8		19	8.6							5.2						1
Chile	15789	9	20		29	1317	1774				75609.6		16268.6	1256.4	74353.2	42295.6			457				14015						1900
China	519148.2	5			1905	111598.5	126314.5				960000.09		209623.94	27251.1	932748.99	203976.85			14716				392833.7						66384
Colombia	43785.6				41	2098	3998				114175	114	60398	3225	110950	6766.4	30923.4	8864.2	1900				39787.6				1984		1087
Comoros	155				2.6	82	140				186.1		2.6		186.1	28.5			58				15						0.13
Congo	10560					500	560				34200		22399	50	34150	1191			60				10000						2
Cook Islands	3	0.02			0.02	2	3				24		15.5		24	5.5			1										
Costa Rica	1880				9.6	250	580				5110		2627.8	4	5106	598.2			330				1300						108
Côte d'Ivoire	20500				20.7	2900	7300				32246		10402.6	446	31800	897.4			4400				13200						73
Croatia	1326.1	7	25		32	896.7	979.7	4	18	22	5659	11	1923.4	63	5596	2346.5			83	0.7	2.6	3.3	346.4	1.3	3.6	4.9	844.7	41	24
Cuba	6570	1.52	0.69		2.21	3550	3940	1.04		1.04	10989		2904.6	345	10644	1169.4	232	2398	390	0.48	0.69	1.17	2630						870
Cyprus	118.5				3.6	83.8	116.5				925		173.25	1	924	632.25			32.7				2						46
Czech Republic	4229	385	98		483	3164	3240	38	21	59	7887	28	2659	163	7724	836			76	3	4	7	989	326	72	398			32
Czechoslovakia																													
Democratic People's Republic of Korea	2555					2300	2505				12054		5539.4	13	12041	3946.6			205				50						1460
Democratic Republic of the Congo	25755				41	6800	7555				234486		153823.6	7781	226705	47126.4			755				18200						11
Denmark	2690	151.4	10.8		162.2	2499	2503				4309	25	546	66	4243	1007	187		4				187				1908	566	435
Djibouti	1702					2	2				2320		5.6	2	2318	610.4							1700						1
Dominica	26				0.24	6	24				75		44.39		75	4.61			18				2						
Dominican Republic	2447	161	26		187	800	1250				4867		1972	35	4832	413			450				1197						307
Ecuador	7346.07				52.2	1155.7	2535.17				25637	173.4	9667.4	801	24836	7822.53	3425.4	1385.5	1379.5				4810.9				982.3		1000
Egypt	3665				82	2870	3665				100145		70.6	600	99545	95809.4			795										3670
El Salvador	1532	6.71	0.02		6.73	665	895				2104	60	282.6	32	2072	257.4			230				637				395	210	45
Equatorial Guinea	304					130	200				2805		1614.2		2805	886.8			70				104						
Eritrea	7592					690	692				11760		1527.6	1660	10100	980.4			2				6900						21
Estonia	945	102	32		134	632	638	40	15	55	4523	46	2210	284	4239	1084	111	196	6	1		1	307	58	14	72	417	169	4
Ethiopia	35683	136.5	3.7	182	140.2	14565	15683				110430	615	12155.2	10430	100000	52161.8			1118				20000				12241	1709	290
Ethiopia PDR																													
Falkland Islands (Malvinas)	1125	386	12.8		398.8						1217		0		1217	92							1125						
Faroe Islands	3	0.25			0.25	3	3				139.6		0.1		139.6	136.5													
Fiji	427.6				2	167.6	252.6				1827		1017.4		1827	382			85				175						3
Finland	2286	161	27		188	2249	2254				33842	276	22157	3453	30389	5946			5				32				1306	667	69
France	29090	699.3	275.8		975.1	18370	19390				54919		16002	153	54766	9674	7410	2290	1020				9700						2600
French Guiana	23.1	2	0.2		2.2	11.9	15.9				8353	1.5	8078.4	133	8220	118.5	1	6.2	4				7.2						6
French Polynesia	45.5				0.1	2.5	25.5				400		160	34	366	160.5			23				20						1
Gabon	5160					325	495				26767		22000	1000	25767				170				4665						4
Gambia	615				0.09	450	455				1130		481.8	118	1012				5				160						5
Georgia	2469	1.6	0.4		2	414	529				6970	130	2739.74	21	6949	1740.26			115				1940				275	9	433
Germany	16719				1015.6	11875	12075				35712.7	229	11076	855.7	34857	7062			200				4644				8832	2814	516
Ghana	15900				19.9	4800	7600				23854		4824.6	1100	22754	2029.4			2800				8300						34
Gibraltar											1		0		1	1													
Greece	8152	292.6	17.2		309.8	2500	3652				13196		3933.2	306	12890	804.8			1152				4500						1555
Greenland	235.9					0.9	0.9				41045		0.22		41045	40808.88							235						
Grenada	11				0.09	3	10				34		16.99		34	6.01			7				1						2
Guadeloupe	42	0.15	0.01		0.16	17.9	21.7				170	1.3	64.32	1	169	62.68			3.8				20.3						6.5
Guam	18					1	10				54		25.88		54	10.12			9				8						0.2
Guatemala	4395	8.63	4.75		13.38	1500	2445				10889		3600.8	173	10716	2720.2			945				1950						315
Guinea	14240					2850	3540				24586		6508	14	24572	3824			690				10700						95
Guinea-Bissau	1630					300	550				3613		2012	801	2812				250				1080						25
Guyana	1677				4.2	420	447				21497		15205	1812	19685	2803			27				1230						150
Haiti	1770				0.91	1000	1280				2775		100.2	19	2756	885.8			280				490						97
Honduras	3220				23.8	1020	1460				11249		5072	60	11189	2897			440				1760						88
Hungary	5337	101.8	22.6	95.2	124.4	4395	4578	46.3	8.5	54.8	9303	236	2038.2	250	9053	1677.8	759		183	2.4	2.9	5.3	759	53.1	11.2	64.3	4244	16	172.6
Iceland	1591	5.9	2.3		8.2	123	123				10300		30.8	275	10025	8403.2							1468						
India	179799	846.6	237.7		1084.3	157350	169650				328726		68579	31407	297319	48941			12300				10149						66750
Indonesia	54500	74			74	23500	43500				190457		93747	9300	181157	32910			20000				11000						6722
Iran (Islamic Republic of)	48957	14.4	28.9		43.3	17541	19433				174515	4375	11075	11660	162855	102823	25	29499	1892				29524				13166		9413
Iraq	8210					4000	4210				43524		825	92	43432	34397			210				4000						3525
Ireland	4555	38	16		54	1062	1063				7028		747.8	139	6889	1586.2	3045	447	1				3492				364	698	
Isle of Man	42.6					25	25				57		3.46		57	10.94	6.3	11.4					17.6				4.82	20.15	
Israel	520.5	6.4	0.7		7.1	302	383.5				2207	90	153.8	43	2164	1489.7			81.5				137				212		225
Italy	13932.6	837	260		1097	6800	9320.6				30134	560	9227	720	29414	6254.4			2520.6				4612				4256	1984	3950
Jamaica	449				0.54	120	220				1099		336.68	16	1083	297.32			100				229						25
Japan	4561	9.4		1574	9.4	4254	4561	7.9		7.9	37795.5		24987.8	1345.5	36450	6901.2			307	1.1		1.1		0.4		0.4	3639	615	2474
Jordan	1002.6	2.6		96.3	2.6	175.6	260.6				8932	61	97.5	54	8878	7777.9		742	85				742				114.6		96.4
Kazakhstan	209115	196.2			196.2	24035	24115				272490		3303.4	2520	269970	57551.6			80				185000						2066
Kenya	27450	4.44	0.53		4.97	5500	6150	0.64	0.32	0.96	58037		3456	1123	56914	26008			650	3.8	0.21	4.01	21300						103
Kiribati	34					2	34				81		12.15		81	34.85			32										
Kuwait	152					11	16				1782		6.39		1782	1623.61			5				136						10.5
Kyrgyzstan	10608.5			999.6	15.1	1275.9	1350.6				19994.9		970.7	814.9	19180	7600.8	3.5	9254.4	74.7				9257.9						1020.8
Lao People's Democratic Republic	2378				3.8	1400	1500			0.5	23680		15672.8	600	23080	5029.2			100			3.3	878						310
Latvia	1816	129.8	54.3		184.1	1158	1165	129.8	54.3	184.1	6448	70	3365.4	228	6220	1038.6			7				651						1.2
Lebanon	638	3.3			3.3	112	238				1045	12	136.98	22	1023	248.02			126				400				100		90
Lesotho	2312				0.18	308	312				3036	69	44.2		3036	679.8			4				2000				239		3
Liberia	2630					450	630				11137		4299	1505	9632	2703			180				2000						3
Libya	15585					1750	2085				175954		217		175954	160152			335				13500						470
Liechtenstein	6.5	1.03	0.06		1.09	3.5	3.5				16		6.9		16	2.6							3						
Lithuania	2805.9	99.4	52.9		152.3	2185.7	2216.6	72	39.8	111.8	6530	106.2	2167.8	262.6	6267.4	1293.7	382.5	206.8	30.9	3.8	1.2	5	589.3	23.6	11.9	35.5	1517.5	562	1.34
Luxembourg	131	2.5	0.2		3.7	61.9	63.4				259		86.75		259	41.25			1.5				67.6						
Madagascar	41395				30.2	3500	4100				58704		12496	550	58154	4263			600				37295						1086
Malawi	5580				0.17	3600	3730				11848		3204	2420	9428	644			130				1850						74
Malaysia	7870	1.6			1.6	1800	7585				33080		20369.2	225	32855	4615.8			5785				285						365
Maldives	7					3	6				30		0.9		30	22.1			3				1						
Mali	41621				14.79	6861	6981			14.7	124019	1000	12411	2000	122019	67987		34640	120			0.09	34640				5500	361	236
Malta	10.3	0.01	0.02	3.5	0.03	9	10.3				32	1	0.3		32	21.4			1.3								8		3.5
Marshall Islands	13					2	10				18		12.64		18				8				3						
Martinique	26.9	0.21	0.1		0.31	8.9	16.4				113	2.2	48.5	7	106	30.6	1	9.5	7.5				10.5						6
Mauritania	39711					450	461				103070		237		103070	63122			11				39250						45
Mauritius	89			20	0.03	78	82				204		35.02	1	203	78.98			4				7						20
Mayotte	12.2					8.9	12.2				37.5		3.3		37.5	22			3.3										0.13
Mexico	103166			6469	366.9	25491	28166				196438		64646.8	2043	194395	26582.2			2675				75000						6500
Micronesia (Federated States of)	22					2	19				70		64.16		70				17				3						
Mongolia	113507					612	614				156412		10816	1056	155356	31033		112893	2				112893						84
Montenegro	512	2.54	0.53		3.07	172	188				1381	14	543	36	1345	290			16				324				31	127	2.5
Montserrat	3					2	2				10		2.5		10	4.5							1						
Morocco	30103.8			1386.5	17	7943.8	9103.8				44655	1496.2	5141	25	44630	9385.2			1160				21000						1458
Mozambique	49400				4.5	5200	5400				79938		38810.6	1300	78638				200				44000						118
Myanmar	12558	0.2			0.2	10786	12250				67659	230	31463.4	2330	65329	21307.6		308	1464				308				10556		2292
Namibia	38809				14.1	800	809				82429		7215.8	100	82329	36304.2			9				38000						8
Nauru	0.4						0.4				2		0		2	1.6			0.4										
Nepal	4259	9.25	0.64		9.89	2355	2473				14718	18	3636	383	14335	6440	20	1766	118				1786				2326	11	1168
Netherlands	1894.8	43.3	4.2		47.5	1042.4	1078.8	17.1	1.9	19	4154	7.2	365	781	3373	1113.2	766.4	49.6	36.4	0.4	0.1	0.5	816	25.7	2.2	27.9	862.9	172.3	486
Netherlands Antilles																													
New Caledonia	251					7	12				1858		839	30	1828	738			5				239						10
New Zealand	11371				133.2	471	542				26771		8260.6	440	26331	6699.4			71				10829						619
Nicaragua	5146	27.1	6.5		33.6	1900	2130				13037		3044	1003	12034	3844			230				3016						61
Niger	43782	0.08		95.55	0.08	14940	15000				126700		1191.6	30	126670	81696.4			60				28782						74
Nigeria	76200				9.5	36000	39200				92377		8631.4	1300	91077	6245.6			3200				37000						293
Niue	5				0.06	1	4				26		18.5		26	2.5			3				1						
Norfolk Island	1										4		0.46		4	2.54							1						
Northern Mariana Islands	3					1	1.92				46		30.15		46	12.85			1				1						0.1
Norway	998	50.23	6.03		56.26	817	821	41	5	46	38517.8	2	10141.4	1991	36526.8	25387.4	20	157	4	0.23	0.03	0.26	177	9	1	10	341	474	90
Occupied Palestinian Territory	260.5				6.35	44.5	110.5				602	7	9.17		602	332.33			66				150				37.5		24
Oman	1770.5				0.04	32	70.5				30950		2		30950	29177.5			38.5				1700						59
Pacific Islands Trust Territory																													
Pakistan	26550			18630	24.9	20714	21550				79610		1644	2522	77088	48894			836				5000						20200
Palau	5					1	3				46		40.3		46	0.7			2				2						
Panama	2267				4.6	540	729				7542	286	3239.2	108	7434	1927.8			189				1538				254		43
Papua New Guinea	1190	11.3			11.3	300	1000				46284		28583.8	998	45286	15512.2			700				190						
Paraguay	20990	51.2			51.2	3900	3990				40675.2		17403.4	945.2	39730	1336.6	4451	12549	90				17000						67
Peru	21500	142.9	43.1		186	3650	4500				128522		67842	522	128000	38658			850				17000						1196
Philippines	12100			1136	96.3	5400	10600				30000		7719.8	183	29817	9997.2			5200				1500						1567
Pitcairn Islands											4.7		3.5		4.7	1.2													
Poland	14779	375.1	234.3		609.4	11098	11488				31268	468	9364.4	853	30415	6271.6	3291		390				3291				10630		116
Portugal	3636				215.5	1094	1804				9209	306	3459.8	62	9147	2051.2			710				1832						540
Puerto Rico	190					60	100				887		560.8		887	136.2			40				90						22
Qatar	66					14	16				1161		0		1161	1095			2				50						13
Republic of Korea	1756				19.3	1492	1698				9990		6215.4	280	9710	1738.6			206				58						785
Republic of Moldova	2459				22	1810	2107				3385		390.6	99.6	3285.4	435.8			297				352						228.3
Réunion	45.6	0.38	0.18		0.56	32.7	35.5				251	0.7	88.6	1	250	115.8			2.8				10.1				31.5	1.2	9.5
Romania	13982	96.6	133.3	103.4	229.9	8995	9439	73.2	74.4	147.6	23839	913	6609.4	823	23016	2424.6	4543		444	1.3	2.9	4.2	4543	22.1	56.1	78.2	7205	877	3149
Russian Federation	215250				126.8	121500	123270				1709824		809150	72137	1637687	613287			1770				91980				65527		4300
Rwanda	1920				3.7	1220	1470				2634		445	167	2467	102			250				450						9.6
"Saint Helena, Ascension and Tristan da Cunha"	12					4	4				39		2		39	25							8						
Saint Kitts and Nevis	6			0.8		5	5.1				26		11		26	9			0.1				0.9				5		0.8
Saint Lucia	11					3	10				62		47	1	61	3			7				1						3
Saint Pierre and Miquelon	2					2	2				24		2.88	1	23	18.12													
Saint Vincent and the Grenadines	10					5	8				39		26.78		39	2.22			3				2						1
Samoa	35				33.5	8	30				284		171	1	283	77			22				5						
San Marino	1					1	1				6		0		6	5													
Sao Tome and Principe	48.7				4.5	8.7	47.7				96		27		96	20.3			39				1						10
Saudi Arabia	173355	16.3	2.2		18.5	3110	3355	7.6	0.3	7.9	214969		977		214969	40637			245	8.7	1.9	10.6	170000				510		1731
Senegal	9505				13	3850	3905				19672	850	8433	419	19253	1315			55				5600				3000		120
Serbia	5061	2.58	3.66	34	6.24	3294	3595				8836	227	2760.4	90	8746	924.6			301				1466				3067		92
Serbia and Montenegro																													
Seychelles	3					1	3				46		40.7		46	2.3			2										0.3
