realDate,iNSA,iSeasonality,iSA,iMonth,cNSA,cSeasonality,cSA,cMonth,year,date,week,avgSeasonality
01/07/1967,346000,166.5,208000,0,1594000,140.6,1134000,0,1967,01/07/2014,2,180.9125
01/14/1967,334000,161.5,207000,0,1563000,139.7,1119000,0,1967,01/14/2014,3,154.50625
01/21/1967,277000,127.8,217000,0,1551000,138.6,1119000,0,1967,01/21/2014,4,121.3145833333
01/28/1967,252000,123.8,204000,209000,1533000,139,1103000,1118750,1967,01/28/2014,5,117.7895833333
02/04/1967,274000,127.1,216000,211000,1534000,135.6,1131000,1118000,1967,02/04/2014,6,118.0770833333
02/11/1967,276000,120.4,229000,216500,1557000,135,1153000,1126500,1967,02/11/2014,7,107.6958333333
02/18/1967,247000,108.4,229000,219500,1579000,135.3,1167000,1138500,1967,02/18/2014,8,99.5791666667
02/25/1967,248000,102.6,242000,229000,1625000,135.5,1199000,1162500,1967,02/25/2014,9,98.6265306122
03/04/1967,326000,105.4,310000,252500,1621000,131.2,1235000,1188500,1967,03/04/2014,10,100.6916666667
03/11/1967,240000,99.8,241000,255500,1577000,127.8,1234000,1208750,1967,03/11/2014,11,94.76875
03/18/1967,225000,92,245000,259500,1525000,123.4,1236000,1226000,1967,03/18/2014,12,90.3145833333
03/25/1967,215000,87.2,247000,260750,1505000,118.7,1268000,1243250,1967,03/25/2014,13,87.2958333333
04/01/1967,223000,86.2,259000,248000,1470000,113.8,1291000,1257250,1967,04/01/2014,14,90.8916666667
04/08/1967,251000,97.6,257000,252000,1410000,110.8,1273000,1267000,1967,04/08/2014,15,100.3458333333
04/15/1967,289000,96.9,299000,265500,1386000,108.5,1278000,1277500,1967,04/15/2014,16,91.0125
04/22/1967,218000,89.1,245000,265000,1342000,105.1,1277000,1279750,1967,04/22/2014,17,88.7520833333
04/29/1967,216000,85,255000,264000,1302000,101.3,1286000,1278500,1967,04/29/2014,18,85.18125
05/06/1967,221000,87.4,254000,263250,1242000,95,1308000,1287250,1967,05/06/2014,19,88.0708333333
05/13/1967,188000,81.7,231000,246250,1169000,91,1284000,1288750,1967,05/13/2014,20,83.71875
05/20/1967,177000,77.3,230000,242500,1129000,89.3,1265000,1285750,1967,05/20/2014,21,83.2770833333
05/27/1967,170000,75,228000,235750,1062000,84.8,1253000,1277500,1967,05/27/2014,22,80.88125
06/03/1967,175000,70.8,248000,234250,1085000,85.8,1265000,1266750,1967,06/03/2014,23,84.76875
06/10/1967,188000,79.3,238000,236000,1038000,83,1251000,1258500,1967,06/10/2014,24,89.4979166667
06/17/1967,176000,78.8,224000,234500,1023000,82,1248000,1254250,1967,06/17/2014,25,88.6270833333
06/24/1967,178000,81.6,218000,232000,1008000,82.6,1220000,1246000,1967,06/24/2014,26,90.2958333333
07/01/1967,206000,98.9,209000,222250,980000,82.2,1193000,1228000,1967,07/01/2014,27,102.0479166667
07/08/1967,322000,134.7,240000,222750,1139000,91.3,1248000,1227250,1967,07/08/2014,28,122.8708333333
07/15/1967,309000,128.1,241000,227000,1212000,96.3,1258000,1229750,1967,07/15/2014,29,115.3395833333
07/22/1967,282000,117.8,240000,232500,1184000,94.5,1252000,1237750,1967,07/22/2014,30,101.0583333333
07/29/1967,243000,116.4,209000,232500,1205000,94.2,1280000,1259500,1967,07/29/2014,31,93.5145833333
