Platform	Released	Units sold
Xbox One	2013	2.00
Xbox 360	2005	80.00
Xbox	2001	24.00
Wii U	2012	4.30
Wii	2006	100.30
TurboGrafx-16	1987	10.00
TurboExpress	1990	1.50
Telstar	1976	1.00
Super Nintendo Entertainment System	1990	49.10
Sega Saturn	1994	9.50
Sega Nomad	1995	1.00
Sega Genesis	1988	40.00
Sega Game Gear	1990	11.00
PlayStation Vita	2011	4.00
PlayStation Portable	2004	80.00
PlayStation 4	2013	2.10
PlayStation 3	2006	80.00
PlayStation 2	2000	155.00
PlayStation	1994	102.49
Nintendo Entertainment System	1983	61.91
Nintendo DS	2004	153.96
Nintendo 64	1996	32.93
Nintendo 3DS	2011	34.98
Neo Geo Pocket and Neo Geo Pocket Color	1998	2.00
N-Gage	2003	3.00
Master System	1986	13.00
Magnavox Odyssey	1978	2.00
Intellivision	1980	3.00
GameCube	2001	21.74
Game Boy and Game Boy Color	1989	118.69
Game Boy Advance	2001	81.51
Dreamcast	1998	10.60
Color TV Game	1977	3.00
ColecoVision	1982	2.00
Atari 7800	1986	3.77
Atari 5200	1982	1.00
Atari 2600	1977	30.00
3DO Interactive Multiplayer	1993	2.00
