Country	Year	Population	Area	Density
Denmark	2014	5569077	42434	131.2
Denmark	2015	5581503	42434	131.5
Denmark	2016	5593785	42434	131.8
Denmark	2017	5605948	42434	132.1
Denmark	2018	5618075	42434	132.4
Denmark	2019	5630198	42434	132.7
Denmark	2020	5642297	42434	133
Denmark	2021	5654265	42434	133.2
Denmark	2022	5665959	42434	133.5
Denmark	2023	5677241	42434	133.8
Denmark	2024	5687949	42434	134
Denmark	2025	5697913	42434	134.3
Denmark	2026	5706931	42434	134.5
Denmark	2027	5714820	42434	134.7
Denmark	2028	5721448	42434	134.8
Denmark	2029	5726703	42434	135
Denmark	2030	5730488	42434	135
Denmark	2031	5732797	42434	135.1
Denmark	2032	5733661	42434	135.1
Denmark	2033	5733065	42434	135.1
Denmark	2034	5731019	42434	135.1
Denmark	2035	5727559	42434	135
Denmark	2036	5722694	42434	134.9
Denmark	2037	5716459	42434	134.7
Denmark	2038	5708959	42434	134.5
