Longcode	State	District	Stateabbrev	Rep	PVI	Simplecook	Cookrating	Party	Code	Score	urban	rural	ag	manufacturing	rich	poverty	white	nonwhite	black	hispanic	nonhispanicwhite	old
Dem Median	Dem Median	Dem Median	Dem Median	Dem Median	Dem Median	Dem Median	Dem Median	Dem Median	Dem Median	0	72.5	27.5	1.7	11	18.05	10.4	84.1	15.9	6.2	6.9	75.85	26.9
Rep Median	Rep Median	Rep Median	Rep Median	Rep Median	Rep Median	Rep Median	Rep Median	Rep Median	Rep Median	0	97.7	2.3	0.5	8.7	19.9	12.4	68.2	31.8	9.4	15.3	50.7	25
Safe Dem	Safe Dem	Safe Dem	Safe Dem	Safe Dem	Safe Dem	Safe Dem	Safe Dem	Safe Dem	Safe Dem	0	98.55	1.45	0.5	8.65	20.05	12.6	66.35	33.65	10.4	15.55	47.85	24.75
At-risk Dem	At-risk Dem	At-risk Dem	At-risk Dem	At-risk Dem	At-risk Dem	At-risk Dem	At-risk Dem	At-risk Dem	At-risk Dem	0	81.5	18.5	1.6	9.4	19.5	11	81	19	4.5	13.7	69.7	27.7
Safe Rep	Safe Rep	Safe Rep	Safe Rep	Safe Rep	Safe Rep	Safe Rep	Safe Rep	Safe Rep	Safe Rep	0	72	28	1.7	11.1	18.1	10.5	83.9	16.1	6.2	7.2	75.2	26.9
At-risk Rep	At-risk Rep	At-risk Rep	At-risk Rep	At-risk Rep	At-risk Rep	At-risk Rep	At-risk Rep	At-risk Rep	At-risk Rep	0	78.9	21.1	1.5	8.6	16.9	9.6	87	13	5.8	6.3	79.8	27.1
Median	Median	Median	Median	Median	Median	Median	Median	Median	Median	0	86.7	13.3	1.2	9.9	19.1	10.9	77.6	22.4	7	10.4	68.3	26.2
5001300US0101	Alabama	1	AL	Rep. Bradley Byrne	R+15	Safe Rep	Solid Rep	Rep	AL-01	5	66.8	33.2	1.7	11.7	14.1	15.6	67.8	32.2	27.7	2.9	65.6	28.1
5001300US0102	Alabama	2	AL	Rep. Martha Roby	R+17	Safe Rep	Solid Rep	Rep	AL-02	5	54.7	45.3	2.1	12.7	14	15.2	66	34	29.9	3.4	63.4	27.2
5001300US0103	Alabama	3	AL	Rep. Mike Rogers	R+16	Safe Rep	Solid Rep	Rep	AL-03	5	50.2	49.8	1.1	16.3	12.9	16.1	70.3	29.7	26	2.7	68.8	26.7
5001300US0104	Alabama	4	AL	Rep. Robert Aderholt	R+28	Safe Rep	Solid Rep	Rep	AL-04	5	34.6	65.4	2.9	19.1	10.8	14.7	88	12	7.3	5	84.6	29.8
5001300US0105	Alabama	5	AL	Rep. Mo Brooks	R+17	Safe Rep	Solid Rep	Rep	AL-05	5	65.5	34.5	1.2	13.5	20.2	10.4	77	23	17.2	4.9	73.6	26.8
5001300US0106	Alabama	6	AL	OPEN (Bachus)	R+28	Safe Rep	Solid Rep	Rep	AL-06	5	69.2	30.8	1	9.3	23.1	8.2	80.3	19.7	14.1	5	77.8	26.5
