year	race	gender	students	drops	rate
2012	total	all	11962.00	386.00	3.20
2011	total	all	11726.00	375.00	3.20
2010	total	all	11647.00	326.00	2.80
2009	total	all	11651.00	373.00	3.20
2008	total	all	11750.00	390.00	3.30
2007	total	all	11584.00	383.00	3.30
2006	total	all	11604.00	407.00	3.50
2005	total	all	11494.00	414.00	3.60
2004	total	all	11165.85	486.00	4.35
2003	total	all	11378.31	428.75	3.77
2002	total	all	10988.92	367.30	3.34
2001	total	all	10777.00	507.00	4.70
2000	total	all	10773.00	488.00	4.50
1999	total	all	11067.00	520.00	4.70
1998	total	all	10791.00	479.00	4.40
1997	total	all	10645.00	454.00	4.30
1996	total	all	10249.00	485.00	4.70
1995	total	all	10106.00	544.00	5.40
1994	total	all	9922.00	497.00	5.00
1993	total	all	9430.00	404.00	4.28
1993	total	all	9021.00	382.00	4.20
1992	total	all	8939.00	384.00	4.30
1991	total	all	8612.00	348.00	4.00
1990	total	all	8679.00	347.00	4.00
1989	total	all	8974.00	404.00	4.50
1988	total	all	9590.00	461.00	4.81
1987	total	all	9802.00	403.00	4.11
1986	total	all	9829.00	421.00	4.28
1985	total	all	9704.00	504.00	5.19
1984	total	all	10041.00	507.00	5.05
1983	total	all	10331.00	535.00	5.18
1982	total	all	10611.00	577.00	5.44
1981	total	all	10868.00	639.00	5.88
1980	total	all	10891.00	658.00	6.04
1979	total	all	11136.00	744.00	6.68
1978	total	all	11116.00	743.00	6.68
1977	total	all	11300.00	734.00	6.50
1976	total	all	10996.00	644.00	5.86
1975	total	all	11033.00	639.00	5.79
1974	total	all	11026.00	742.00	6.73
1973	total	all	10851.00	683.00	6.29
1972	total	all	10664.00	659.00	6.18
1971	total	all	10451.00	562.00	5.38
1970	total	all	10281.00	588.00	5.72
1969	total	all	10212.00	551.00	5.40
1968	total	all	9814.00	506.00	5.16
1967	total	all	9350.00	486.00	5.20
2012	white	all	8767.00	207.00	2.40
2011	white	all	8815.00	261.00	3.00
2010	white	all	8793.00	221.00	2.50
2009	white	all	8886.00	269.00	3.00
2008	white	all	8942.00	246.00	2.80
2007	white	all	8927.00	246.00	2.80
2006	white	all	8924.00	311.00	3.50
2005	white	all	8855.00	271.00	3.06
2004	white	all	8585.42	359.49	4.19
2003	white	all	8780.91	320.56	3.65
2002	white	all	8635.62	258.70	3.00
2001	white	all	8490.00	388.00	4.57
2000	white	all	8540.00	371.00	4.30
1999	white	all	8665.00	380.00	4.40
1998	white	all	8487.00	371.00	4.40
1997	white	all	8402.00	355.00	4.20
1996	white	all	8005.00	361.00	4.50
1995	white	all	7926.00	402.00	5.10
1994	white	all	7862.00	371.00	4.70
1993	white	all	7442.00	306.00	4.10
1993	white	all	7152.00	290.00	4.10
1992	white	all	7077.00	292.00	4.10
1991	white	all	6856.00	254.00	3.70
1990	white	all	6984.00	266.00	3.80
1989	white	all	7243.00	286.00	3.95
1988	white	all	7727.00	362.00	4.68
1987	white	all	7979.00	299.00	3.75
1986	white	all	8011.00	333.00	4.16
1985	white	all	7967.00	384.00	4.82
1984	white	all	8221.00	410.00	4.99
1983	white	all	8531.00	410.00	4.81
1982	white	all	8769.00	444.00	5.06
1981	white	all	9067.00	478.00	5.27
1980	white	all	9177.00	517.00	5.63
1979	white	all	9437.00	588.00	6.23
1978	white	all	9360.00	574.00	6.13
1977	white	all	9536.00	594.00	6.23
1976	white	all	9362.00	532.00	5.68
