year	type	students	drops	rate	male	maledrops	malerate	female	femaledrops	femalerate
2012.00	total	11962.00	386.00	3.20	5997.00	201.00	3.40	5965.00	184.00	3.10
2011.00	total	11726.00	375.00	3.20	6010.00	206.00	3.40	5716.00	169.00	2.90
2010.00	total	11647.00	326.00	2.80	6006.00	172.00	2.90	5641.00	154.00	2.70
2009.00	total	11651.00	373.00	3.20	5798.00	189.00	3.30	5853.00	184.00	3.10
2008.00	total	11750.00	390.00	3.30	5999.00	174.00	2.90	5751.00	216.00	3.80
2007.00	total	11584.00	383.00	3.30	5879.00	206.00	3.50	5705.00	177.00	3.10
2006.00	total	11604.00	407.00	3.50	5932.00	227.00	3.80	5672.00	180.00	3.20
2005.00	total	11494.00	414.00	3.60	5843.00	233.00	3.99	5651.00	181.00	3.20
2004.00	total	11165.85	486.00	4.35	5623.73	265.80	4.73	5542.24	220.32	3.98
2003.00	total	11378.31	428.75	3.77	5704.58	225.44	3.95	5673.72	203.31	3.58
2002.00	total	10988.92	367.30	3.34	5504.49	193.32	3.51	5484.47	174.02	3.17
2001.00	total	10777.00	507.00	4.70	5534.00	293.00	5.29	5243.00	214.00	4.08
2000.00	total	10773.00	488.00	4.50	5417.00	280.00	5.20	5356.00	208.00	3.90
1999.00	total	11067.00	520.00	4.70	5659.00	243.00	4.30	5411.00	277.00	5.10
1998.00	total	10791.00	479.00	4.40	5486.00	237.00	4.30	5305.00	243.00	4.60
1997.00	total	10645.00	454.00	4.30	5330.00	251.00	4.70	5313.00	203.00	3.80
1996.00	total	10249.00	485.00	4.70	5175.00	240.00	4.60	5072.00	244.00	4.80
1995.00	total	10106.00	544.00	5.40	5161.00	297.00	5.80	4946.00	247.00	5.00
1994.00	total	9922.00	497.00	5.00	5048.00	249.00	4.90	4873.00	247.00	5.10
1993.00	total	9430.00	404.00	4.28	4787.00	211.00	4.41	4640.00	192.00	4.14
1993.00	total	9021.00	382.00	4.20	4570.00	199.00	4.40	4452.00	183.00	4.10
1992.00	total	8939.00	384.00	4.30	4580.00	175.00	3.80	4357.00	207.00	4.80
1991.00	total	8612.00	348.00	4.00	4380.00	167.00	3.80	4231.00	180.00	4.30
1990.00	total	8679.00	347.00	4.00	4356.00	177.00	4.10	4323.00	170.00	3.90
1989.00	total	8974.00	404.00	4.50	4519.00	203.00	4.49	4453.00	199.00	4.47
1988.00	total	9590.00	461.00	4.81	4960.00	256.00	5.16	4628.00	206.00	4.45
1987.00	total	9802.00	403.00	4.11	4921.00	215.00	4.37	4879.00	187.00	3.83
1986.00	total	9829.00	421.00	4.28	4910.00	213.00	4.34	4917.00	208.00	4.23
1985.00	total	9704.00	504.00	5.19	4831.00	259.00	5.36	4874.00	245.00	5.03
1984.00	total	10041.00	507.00	5.05	4986.00	268.00	5.38	5054.00	238.00	4.71
1983.00	total	10331.00	535.00	5.18	5130.00	294.00	5.73	5200.00	241.00	4.63
1982.00	total	10611.00	577.00	5.44	5310.00	305.00	5.74	5301.00	271.00	5.11
1981.00	total	10868.00	639.00	5.88	5379.00	322.00	5.99	5487.00	316.00	5.76
1980.00	total	10891.00	658.00	6.04	5445.00	362.00	6.65	5448.00	296.00	5.43
1979.00	total	11136.00	744.00	6.68	5479.00	369.00	6.73	5658.00	377.00	6.66
1978.00	total	11116.00	743.00	6.68	5558.00	415.00	7.47	5558.00	328.00	5.90
1977.00	total	11300.00	734.00	6.50	5657.00	392.00	6.93	5643.00	342.00	6.06
1976.00	total	10996.00	644.00	5.86	5534.00	360.00	6.51	5463.00	285.00	5.22
1975.00	total	11033.00	639.00	5.79	5485.00	296.00	5.40	5548.00	343.00	6.18
1974.00	total	11026.00	742.00	6.73	5421.00	402.00	7.42	5605.00	340.00	6.07
1973.00	total	10851.00	683.00	6.29	5407.00	370.00	6.84	5444.00	313.00	5.75
1972.00	total	10664.00	659.00	6.18	5305.00	317.00	5.98	5358.00	341.00	6.36
1971.00	total	10451.00	562.00	5.38	5193.00	297.00	5.72	5258.00	266.00	5.06
1970.00	total	10281.00	588.00	5.72	5145.00	288.00	5.60	5138.00	302.00	5.88
1969.00	total	10212.00	551.00	5.40	5069.00	273.00	5.39	5142.00	278.00	5.41
1968.00	total	9814.00	506.00	5.16	4831.00	247.00	5.11	4983.00	259.00	5.20
1967.00	total	9350.00	486.00	5.20	4605.00	237.00	5.15	4745.00	249.00	5.25
2012.00	white	8767.00	207.00	2.40	4479.00	126.00	2.80	4288.00	81.00	1.90
2011.00	white	8815.00	261.00	3.00	4559.00	145.00	3.20	4256.00	116.00	2.70
2010.00	white	8793.00	221.00	2.50	4592.00	127.00	2.80	4201.00	94.00	2.20
2009.00	white	8886.00	269.00	3.00	4459.00	146.00	3.30	4427.00	123.00	2.80
2008.00	white	8942.00	246.00	2.80	4588.00	123.00	2.70	4353.00	123.00	2.80
2007.00	white	8927.00	246.00	2.80	4518.00	126.00	2.80	4409.00	120.00	2.70
2006.00	white	8924.00	311.00	3.50	4568.00	177.00	3.90	4355.00	133.00	3.10
2005.00	white	8855.00	271.00	3.06	4472.00	151.00	3.38	4382.00	120.00	2.74
2004.00	white	8585.42	359.49	4.19	4344.00	211.07	4.86	4241.42	148.42	3.50
2003.00	white	8780.91	320.56	3.65	4434.30	172.09	3.88	4346.60	148.46	3.42
2002.00	white	8635.62	258.70	3.00	4371.10	132.83	3.04	4264.52	125.87	2.95
2001.00	white	8490.00	388.00	4.57	4363.00	230.00	5.27	4126.00	158.00	3.83
