series_id	year	period	value	footnote_codes
EIUID02                       	2006	M12	       100.0	          
EIUID02                       	2007	M01	       104.4	          
EIUID02                       	2007	M02	       109.4	          
EIUID02                       	2007	M03	       113.6	          
EIUID02                       	2007	M04	       115.0	          
EIUID02                       	2007	M05	       119.3	          
EIUID02                       	2007	M06	       124.8	          
EIUID02                       	2007	M07	       127.0	          
EIUID02                       	2007	M08	       129.9	          
EIUID02                       	2007	M09	       131.7	          
EIUID02                       	2007	M10	       127.6	          
EIUID02                       	2007	M11	       124.7	          
EIUID02                       	2007	M12	       124.9	          
EIUID02                       	2008	M01	       123.2	          
EIUID02                       	2008	M02	       124.5	          
EIUID02                       	2008	M03	       131.3	          
EIUID02                       	2008	M04	       137.3	          
EIUID02                       	2008	M05	       142.0	          
EIUID02                       	2008	M06	       145.4	          
EIUID02                       	2008	M07	       148.7	          
EIUID02                       	2008	M08	       153.9	          
EIUID02                       	2008	M09	       151.5	          
EIUID02                       	2008	M10	       147.0	          
EIUID02                       	2008	M11	       125.2	          
EIUID02                       	2008	M12	       119.2	          
EIUID02                       	2009	M01	       121.2	          
EIUID02                       	2009	M02	       121.1	          
EIUID02                       	2009	M03	       122.8	          
EIUID02                       	2009	M04	       123.1	          
EIUID02                       	2009	M05	       127.3	          
EIUID02                       	2009	M06	       131.9	          
EIUID02                       	2009	M07	       127.8	          
EIUID02                       	2009	M08	       126.6	          
EIUID02                       	2009	M09	       123.9	          
EIUID02                       	2009	M10	       120.6	          
EIUID02                       	2009	M11	       120.8	          
EIUID02                       	2009	M12	       123.2	          
EIUID02                       	2010	M01	       124.2	          
EIUID02                       	2010	M02	       128.9	          
EIUID02                       	2010	M03	       133.7	          
EIUID02                       	2010	M04	       139.6	          
EIUID02                       	2010	M05	       145.0	          
EIUID02                       	2010	M06	       143.5	          
EIUID02                       	2010	M07	       145.5	          
EIUID02                       	2010	M08	       144.5	          
EIUID02                       	2010	M09	       143.7	          
EIUID02                       	2010	M10	       146.7	          
EIUID02                       	2010	M11	       145.4	          
EIUID02                       	2010	M12	       144.7	          
EIUID02                       	2011	M01	       145.7	          
EIUID02                       	2011	M02	       151.7	          
EIUID02                       	2011	M03	       157.3	          
EIUID02                       	2011	M04	       160.1	          
EIUID02                       	2011	M05	       162.5	          
EIUID02                       	2011	M06	       159.4	          
EIUID02                       	2011	M07	       161.3	          
EIUID02                       	2011	M08	       163.7	          
EIUID02                       	2011	M09	       167.7	          
EIUID02                       	2011	M10	       170.6	          
EIUID02                       	2011	M11	       171.0	          
EIUID02                       	2011	M12	       170.1	          
EIUID02                       	2012	M01	       168.8	          
EIUID02                       	2012	M02	       169.3	          
EIUID02                       	2012	M03	       168.8	          
EIUID02                       	2012	M04	       167.4	          
EIUID02                       	2012	M05	       167.9	          
EIUID02                       	2012	M06	       165.6	          
EIUID02                       	2012	M07	       163.4	          
EIUID02                       	2012	M08	       165.3	          
EIUID02                       	2012	M09	       166.6	          
EIUID02                       	2012	M10	       169.2	          
EIUID02                       	2012	M11	       168.6	          
EIUID02                       	2012	M12	       168.5	          
EIUID02                       	2013	M01	       167.2	          
EIUID02                       	2013	M02	       169.1	          
EIUID02                       	2013	M03	       169.2	          
EIUID02                       	2013	M04	       168.8	          
EIUID02                       	2013	M05	       166.0	          
EIUID02                       	2013	M06	       167.3	          
EIUID02                       	2013	M07	       168.9	          
EIUID02                       	2013	M08	       166.7	          
EIUID02                       	2013	M09	       168.0	          
EIUID02                       	2013	M10	       166.2	          
EIUID02                       	2013	M11	       167.4	          
EIUID02                       	2013	M12	       168.2	          
EIUID02                       	2014	M01	       165.5	          
EIUID02                       	2014	M02	       167.4	r
EIUID02                       	2014	M03	       172.1	r
EIUID02                       	2014	M04	       181.3	          
EIUID0203                     	2010	M12	       100.0	          
EIUID0203                     	2011	M01	        99.5	          
EIUID0203                     	2011	M02	       100.5	          
EIUID0203                     	2011	M03	       107.7	          
EIUID0203                     	2011	M04	       108.8	          
EIUID0203                     	2011	M05	       108.8	          
EIUID0203                     	2011	M06	       109.7	          
EIUID0203                     	2011	M07	       113.4	          
EIUID0203                     	2011	M08	       115.1	          
EIUID0203                     	2011	M09	       116.4	          
EIUID0203                     	2011	M10	       116.0	          
EIUID0203                     	2011	M11	       115.1	          
EIUID0203                     	2011	M12	       112.9	          
EIUID0203                     	2012	M01	       109.7	          
EIUID0203                     	2012	M02	       108.2	          
EIUID0203                     	2012	M03	       108.2	          
EIUID0203                     	2012	M04	       104.9	          
EIUID0203                     	2012	M05	       103.7	          
EIUID0203                     	2012	M06	       106.6	          
EIUID0203                     	2012	M07	       111.4	          
EIUID0203                     	2012	M08	       109.6	          
EIUID0203                     	2012	M09	       105.8	          
EIUID0203                     	2012	M10	       107.0	          
EIUID0203                     	2012	M11	       108.2	          
EIUID0203                     	2012	M12	       107.6	          
EIUID0203                     	2013	M01	       104.9	          
EIUID0203                     	2013	M02	       105.8	          
EIUID0203                     	2013	M03	       104.0	          
EIUID0203                     	2013	M04	       100.2	          
EIUID0203                     	2013	M05	       100.8	          
EIUID0203                     	2013	M06	       101.0	          
EIUID0203                     	2013	M07	       105.5	          
EIUID0203                     	2013	M08	       104.3	          
EIUID0203                     	2013	M09	       104.3	          
EIUID0203                     	2013	M10	       100.7	          
EIUID0203                     	2013	M11	       104.7	          
EIUID0203                     	2013	M12	       100.4	          
EIUID0203                     	2014	M01	        97.5	          
EIUID0203                     	2014	M02	        98.2	r
EIUID0203                     	2014	M03	       103.9	r
EIUID0203                     	2014	M04	       121.5	          
EIUID0207                     	2009	M12	       100.0	          
EIUID0207                     	2010	M01	       100.0	          
