series_id	seasonal	index_code	series_name	footnote_codes	begin_year	begin_period	end_year	end_period
EIUCOASEANTOT                 	U	CO	ASEAN (Dec. 2003=100) - All commodities	10        	2003	M12	2014	M04
EIUCOASEANZ11                 	U	CO	Agriculture, forestry, fishing and hunting	          	2012	M06	2014	M04
EIUCOASEANZ31                 	U	CO	Manufactured goods, part 1	          	2012	M06	2014	M04
EIUCOASEANZ311                	U	CO	Food manufacturing	          	2012	M06	2014	M04
EIUCOASEANZ315                	U	CO	Apparel manufacturing	          	2012	M06	2014	M04
EIUCOASEANZ33                 	U	CO	Manufactured goods, part 3	          	2012	M06	2014	M04
EIUCOASEANZ334                	U	CO	Computer and electronic product manufacturing	          	2012	M06	2014	M04
EIUCOASEANZ337                	U	CO	Furniture and related product manufacturing	          	2012	M06	2014	M04
EIUCOASEANZ339                	U	CO	Miscellaneous manufacturing	          	2012	M06	2014	M04
EIUCOASNRETOT                 	U	CO	Asia Near East (Dec. 2003=100) - All commodities	11        	2003	M12	2014	M04
EIUCOCANMANU                  	U	CO	Canada - Manufactured articles	          	1990	M12	2014	M04
EIUCOCANNONM                  	U	CO	Canada - Nonmanufactured articles	          	1990	M12	2014	M04
EIUCOCANTOT                   	U	CO	Canada - All commodities	          	1990	M12	2014	M04
EIUCOCANZ21                   	U	CO	Mining	          	2012	M06	2014	M04
EIUCOCANZ31                   	U	CO	Manufactured goods, part 1	          	2012	M06	2014	M04
EIUCOCANZ311                  	U	CO	Food manufacturing	          	2012	M06	2014	M04
EIUCOCANZ32                   	U	CO	Manufactured goods, part 2	          	2012	M06	2014	M04
EIUCOCANZ321                  	U	CO	Wood product manufacturing	          	2012	M06	2014	M04
EIUCOCANZ3211                 	U	CO	Sawmills and wood preservation	          	2012	M06	2014	M04
EIUCOCANZ322                  	U	CO	Paper manufacturing	          	2012	M06	2014	M04
EIUCOCANZ3221                 	U	CO	Pulp, paper, and paperboard mills	          	2012	M06	2014	M04
EIUCOCANZ325                  	U	CO	Chemical manufacturing	          	2012	M06	2014	M04
EIUCOCANZ33                   	U	CO	Manufactured goods, part 3	          	2012	M06	2014	M04
EIUCOCANZ333                  	U	CO	Machinery manufacturing	          	2012	M06	2014	M04
EIUCOCANZ334                  	U	CO	Computer and electronic product manufacturing	          	2012	M06	2014	M04
EIUCOCHNTOT                   	U	CO	China (Dec. 2003=100) - All commodities	          	2003	M12	2014	M04
EIUCOCHNZ31                   	U	CO	Manufactured goods, part 1	          	2012	M06	2014	M04
EIUCOCHNZ314                  	U	CO	Textile product mills	          	2012	M06	2014	M04
EIUCOCHNZ3141                 	U	CO	Textile furnishings mills	          	2012	M06	2014	M04
EIUCOCHNZ315                  	U	CO	Apparel manufacturing	          	2012	M06	2014	M04
EIUCOCHNZ3152                 	U	CO	Cut and sew apparel manufacturing	          	2012	M06	2014	M04
EIUCOCHNZ316                  	U	CO	Leather and allied product manufacturing	          	2012	M06	2014	M04
EIUCOCHNZ3162                 	U	CO	Footwear manufacturing	          	2012	M06	2014	M04
EIUCOCHNZ3169                 	U	CO	Other leather and allied product manufacturing	          	2012	M06	2014	M04
