empire	id	km	percent	peak
Mauryan Empire	Mauryan_Empire	0	0.0403	-265
Eastern Zhou Dynasty	Eastern_Zhou_Dynasty	0.06	0.00101	-770
Old Kingdom, Assyria	Old_Kingdom_Assyria	0.06	0.00101	-1730
Aztec Empire	Aztec_Empire	0.08	0.00148	1520
Amorian Dynasty, Byzantium	Amorian_Dynasty_Byzantium	0.08	0.00134	-750
Urartu, or Kingdom of Ararat or Van	Urartu_or_Kingdom_of_Ararat_or_Van	0.08	0.00134	-800
2nd Dynasty, Isin	Second_Dynasty_Isin	0.08	0.00134	-1130
Middle Elamite	Middle_Elamite	0.08	0.00134	-1160
Serbian Empire	Serbian_Empire	0.1	0.00168	1350
1st Dynasty, Babylon	First_Dynasty_Babylon	0.1	0.00168	-1690
Carthaginian Empire	Carthaginian_Empire	0.12	0.00201	-220
Davids Israelite Empire	Davids_Israelite_Empire	0.12	0.002	-970
Mitanni Empire	Mitanni_Empire	0.12	0.00201	-1450
Latin Empire	Latin_Empire	0.14	0.00235	1204
Crimean Khanate	Crimean_Khanate	0.15	0.00269	1500
Polish Piast State	Polish_Piast_State	0.15	0.00269	1003
Armenian Kingdom	Armenian_Kingdom	0.15	0.00269	-189
Middle Kingdom of Assyria	Middle_Kingdom_of_Assyria	0.15	0.00269	-1080
Old Kingdom of Egypt	Old_Kingdom_of_Egypt	0.15	0.00269	-2400
Goguryeo Kingdom	Goguryeo_Kingdom	0.17	0.00302	476
Xia Dynasty	Xia_Dynasty	0.17	0.00302	-1800
Pandyan Dynasty, Tamizhan kingdom	Pandyan_Dynasty_Tamizhan_kingdom	0.19	0.00336	1251
Later Han	Later_Han	0.19	0.00336	947
Ostrogothic Kingdom	Ostrogothic_Kingdom	0.19	0.00336	510
Kangju Empire	Kangju_Empire	0.19	0.00336	-100
Chu Dynasty	Chu_Dynasty	0.19	0.00336	-350
Shishunaga dynasty	Shishunaga_dynasty	0.19	0.00336	-510
Kosala Dynasty	Kosala_Dynasty	0.19	0.00336	-543
Neo-Babylonian Empire	Neo-Babylonian_Empire	0.19	0.00336	-562
Lydian Empire	Lydian_Empire	0.19	0.00336	-585
Middle Kingdom of Egypt	Middle_Kingdom_of_Egypt	0.19	0.00336	-1850
Sikh Empire	Sikh_Empire	0.22	0.00377	1845
Nizams Dynasty	Nizams_Dynasty	0.23	0.00403	1740
Bahmani Sultanate	Bahmani_Sultanate	0.23	0.00403	1470
Caliphate of Córdoba	Caliphate_of_Córdoba	0.23	0.00403	1000
Rai Dynasty	Rai_Dynasty	0.23	0.00403	675
Maukhari Kannauj Dynasty	Maukhari_Kannauj_Dynasty	0.23	0.00403	600
Visigothic Kingdom	Visigothic_Kingdom	0.23	0.00403	580
Vakataka Kingdom	Vakataka_Kingdom	0.25	0.00436	450
26th Dynasty of Egypt	TwentySixth_Dynasty_of_Egypt	0.25	0.00436	-550
