state,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,label,total,pop,label,share
Minnesota,854,2251,7155,5026,4903,2680,1120,1147,2182,1734,2115,2067,1543,Minnesota (0.642%),34777,5420380,Minnesota,0.642
North Dakota,60,110,232,244,154,214,463,503,441,402,487,544,374,North Dakota (0.584%),4228,723393,North Dakota,0.584
Idaho,302,246,456,545,518,742,1167,1266,969,753,788,913,731,Idaho (0.583%),9396,1612136,Idaho,0.583
South Dakota,127,168,338,222,158,227,418,515,582,461,704,483,336,South Dakota (0.561%),4739,844877,South Dakota,0.561
Vermont,93,82,276,196,126,130,391,347,249,363,423,254,260,Vermont (0.509%),3190,626630,Vermont,0.509
Washington,3049,3174,2735,2887,2345,2041,2324,2971,2829,1964,2339,2341,1760,Washington (0.47%),32759,6971406,Washington,0.47
Arizona,934,1083,2090,1987,1439,2024,3392,4543,3156,1961,2686,2756,2002,Arizona (0.454%),30053,6626624,Arizona,0.454
Nebraska,223,232,482,256,319,438,703,900,780,740,799,1067,782,Nebraska (0.413%),7721,1868516,Nebraska,0.413
New Hampshire,279,261,633,266,210,252,610,670,434,484,371,382,227,New Hampshire (0.384%),5079,1323459,New Hampshire,0.384
Utah,300,468,770,767,611,898,1012,1402,1021,801,1102,1047,795,Utah (0.379%),10994,2900872,Utah,0.379
Kentucky,382,318,715,796,656,975,1235,1871,2079,1161,1621,1569,1260,Kentucky (0.333%),14638,4395295,Kentucky,0.333
Colorado,480,574,807,861,843,957,1331,1944,1925,1469,1612,1667,1239,Colorado (0.298%),15709,5268367,Colorado,0.298
Michigan,537,538,1047,864,531,1584,3586,3460,3446,2163,4585,4125,2685,Michigan (0.295%),29151,9895622,Michigan,0.295
Oregon,1074,992,1298,1102,848,641,708,668,1162,697,740,878,700,Oregon (0.293%),11508,3930065,Oregon,0.293
Georgia,1036,1221,2169,1885,1354,1567,2679,3355,3279,2423,2791,2497,1926,Georgia (0.282%),28182,9992167,Georgia,0.282
Massachusetts,783,962,1491,1301,772,782,1254,1898,1822,1400,1885,1690,1348,Massachusetts (0.26%),17388,6692824,Massachusetts,0.26
Texas,1402,1809,3603,3093,2774,4296,5805,8826,7710,5294,6679,6923,4863,Texas (0.238%),63077,26448193,Texas,0.238
North Carolina,1387,687,1161,1410,1120,1788,2371,2548,2360,1899,2376,2228,1702,North Carolina (0.234%),23037,9848060,North Carolina,0.234
