date	type	industry	value
12/01/2000	separations	construction	433
01/01/2001	separations	construction	455
02/01/2001	separations	construction	506
03/01/2001	separations	construction	495
04/01/2001	separations	construction	417
05/01/2001	separations	construction	461
06/01/2001	separations	construction	462
07/01/2001	separations	construction	425
08/01/2001	separations	construction	424
09/01/2001	separations	construction	436
10/01/2001	separations	construction	444
11/01/2001	separations	construction	469
12/01/2001	separations	construction	433
01/01/2002	separations	construction	428
02/01/2002	separations	construction	438
03/01/2002	separations	construction	415
04/01/2002	separations	construction	438
05/01/2002	separations	construction	444
06/01/2002	separations	construction	424
07/01/2002	separations	construction	475
08/01/2002	separations	construction	387
09/01/2002	separations	construction	446
10/01/2002	separations	construction	448
11/01/2002	separations	construction	380
12/01/2002	separations	construction	453
01/01/2003	separations	construction	447
02/01/2003	separations	construction	396
03/01/2003	separations	construction	423
04/01/2003	separations	construction	411
05/01/2003	separations	construction	442
06/01/2003	separations	construction	449
07/01/2003	separations	construction	453
08/01/2003	separations	construction	473
09/01/2003	separations	construction	442
10/01/2003	separations	construction	439
11/01/2003	separations	construction	452
12/01/2003	separations	construction	423
01/01/2004	separations	construction	423
02/01/2004	separations	construction	457
03/01/2004	separations	construction	448
04/01/2004	separations	construction	402
05/01/2004	separations	construction	389
06/01/2004	separations	construction	465
07/01/2004	separations	construction	412
08/01/2004	separations	construction	416
09/01/2004	separations	construction	417
10/01/2004	separations	construction	427
11/01/2004	separations	construction	428
12/01/2004	separations	construction	411
01/01/2005	separations	construction	494
02/01/2005	separations	construction	449
03/01/2005	separations	construction	403
04/01/2005	separations	construction	440
05/01/2005	separations	construction	469
06/01/2005	separations	construction	423
07/01/2005	separations	construction	399
08/01/2005	separations	construction	478
09/01/2005	separations	construction	499
10/01/2005	separations	construction	455
11/01/2005	separations	construction	432
12/01/2005	separations	construction	477
01/01/2006	separations	construction	453
02/01/2006	separations	construction	432
03/01/2006	separations	construction	436
04/01/2006	separations	construction	402
05/01/2006	separations	construction	468
06/01/2006	separations	construction	396
07/01/2006	separations	construction	437
08/01/2006	separations	construction	390
09/01/2006	separations	construction	413
10/01/2006	separations	construction	431
11/01/2006	separations	construction	475
12/01/2006	separations	construction	424
01/01/2007	separations	construction	401
02/01/2007	separations	construction	426
03/01/2007	separations	construction	351
04/01/2007	separations	construction	394
05/01/2007	separations	construction	410
06/01/2007	separations	construction	411
07/01/2007	separations	construction	432
08/01/2007	separations	construction	438
09/01/2007	separations	construction	420
10/01/2007	separations	construction	407
11/01/2007	separations	construction	423
12/01/2007	separations	construction	419
01/01/2008	separations	construction	407
02/01/2008	separations	construction	401
03/01/2008	separations	construction	431
04/01/2008	separations	construction	467
05/01/2008	separations	construction	405
06/01/2008	separations	construction	445
07/01/2008	separations	construction	403
08/01/2008	separations	construction	428
09/01/2008	separations	construction	402
10/01/2008	separations	construction	452
11/01/2008	separations	construction	466
12/01/2008	separations	construction	446
01/01/2009	separations	construction	478
02/01/2009	separations	construction	441
03/01/2009	separations	construction	452
04/01/2009	separations	construction	465
05/01/2009	separations	construction	389
06/01/2009	separations	construction	351
07/01/2009	separations	construction	417
08/01/2009	separations	construction	345
09/01/2009	separations	construction	381
10/01/2009	separations	construction	366
11/01/2009	separations	construction	332
12/01/2009	separations	construction	367
01/01/2010	separations	construction	392
02/01/2010	separations	construction	357
03/01/2010	separations	construction	352
04/01/2010	separations	construction	361
05/01/2010	separations	construction	346
06/01/2010	separations	construction	299
07/01/2010	separations	construction	359
08/01/2010	separations	construction	335
09/01/2010	separations	construction	342
10/01/2010	separations	construction	346
11/01/2010	separations	construction	330
12/01/2010	separations	construction	410
01/01/2011	separations	construction	318
02/01/2011	separations	construction	312
03/01/2011	separations	construction	342
04/01/2011	separations	construction	371
05/01/2011	separations	construction	355
06/01/2011	separations	construction	375
07/01/2011	separations	construction	322
08/01/2011	separations	construction	341
09/01/2011	separations	construction	345
10/01/2011	separations	construction	312
11/01/2011	separations	construction	320
12/01/2011	separations	construction	301
01/01/2012	separations	construction	308
02/01/2012	separations	construction	321
03/01/2012	separations	construction	290
04/01/2012	separations	construction	296
05/01/2012	separations	construction	343
06/01/2012	separations	construction	339
07/01/2012	separations	construction	355
08/01/2012	separations	construction	335
09/01/2012	separations	construction	355
10/01/2012	separations	construction	283
11/01/2012	separations	construction	366
12/01/2012	separations	construction	279
01/01/2013	separations	construction	327
02/01/2013	separations	construction	323
03/01/2013	separations	construction	325
04/01/2013	separations	construction	298
05/01/2013	separations	construction	316
06/01/2013	separations	construction	302
07/01/2013	separations	construction	298
08/01/2013	separations	construction	293
09/01/2013	separations	construction	288
10/01/2013	separations	construction	310
11/01/2013	separations	construction	275
12/01/2013	separations	construction	287
01/01/2014	separations	construction	241
02/01/2014	separations	construction	254
03/01/2014	separations	construction	245
04/01/2014	separations	construction	261
12/01/2000	hirings	construction	414
01/01/2001	hirings	construction	501
02/01/2001	hirings	construction	513
03/01/2001	hirings	construction	516
04/01/2001	hirings	construction	457
05/01/2001	hirings	construction	455
06/01/2001	hirings	construction	442
07/01/2001	hirings	construction	440
08/01/2001	hirings	construction	409
09/01/2001	hirings	construction	413
10/01/2001	hirings	construction	431
11/01/2001	hirings	construction	453
12/01/2001	hirings	construction	448
01/01/2002	hirings	construction	418
02/01/2002	hirings	construction	424
03/01/2002	hirings	construction	404
04/01/2002	hirings	construction	429
05/01/2002	hirings	construction	409
06/01/2002	hirings	construction	427
07/01/2002	hirings	construction	458
08/01/2002	hirings	construction	401
09/01/2002	hirings	construction	444
10/01/2002	hirings	construction	428
11/01/2002	hirings	construction	416
12/01/2002	hirings	construction	440
01/01/2003	hirings	construction	457
02/01/2003	hirings	construction	355
03/01/2003	hirings	construction	410
04/01/2003	hirings	construction	449
05/01/2003	hirings	construction	452
06/01/2003	hirings	construction	459
07/01/2003	hirings	construction	451
08/01/2003	hirings	construction	494
09/01/2003	hirings	construction	462
10/01/2003	hirings	construction	433
11/01/2003	hirings	construction	473
12/01/2003	hirings	construction	454
01/01/2004	hirings	construction	436
02/01/2004	hirings	construction	436
03/01/2004	hirings	construction	503
04/01/2004	hirings	construction	443
05/01/2004	hirings	construction	438
06/01/2004	hirings	construction	481
07/01/2004	hirings	construction	408
08/01/2004	hirings	construction	443
09/01/2004	hirings	construction	445
10/01/2004	hirings	construction	471
11/01/2004	hirings	construction	445
12/01/2004	hirings	construction	441
01/01/2005	hirings	construction	460
02/01/2005	hirings	construction	490
03/01/2005	hirings	construction	439
04/01/2005	hirings	construction	539
05/01/2005	hirings	construction	502
06/01/2005	hirings	construction	470
07/01/2005	hirings	construction	416
08/01/2005	hirings	construction	527
09/01/2005	hirings	construction	525
10/01/2005	hirings	construction	495
11/01/2005	hirings	construction	490
12/01/2005	hirings	construction	457
01/01/2006	hirings	construction	484
02/01/2006	hirings	construction	473
03/01/2006	hirings	construction	479
04/01/2006	hirings	construction	464
05/01/2006	hirings	construction	473
06/01/2006	hirings	construction	408
07/01/2006	hirings	construction	445
08/01/2006	hirings	construction	414
09/01/2006	hirings	construction	408
10/01/2006	hirings	construction	395
11/01/2006	hirings	construction	467
12/01/2006	hirings	construction	431
01/01/2007	hirings	construction	413
02/01/2007	hirings	construction	323
03/01/2007	hirings	construction	451
04/01/2007	hirings	construction	373
05/01/2007	hirings	construction	400
06/01/2007	hirings	construction	431
07/01/2007	hirings	construction	411
08/01/2007	hirings	construction	406
09/01/2007	hirings	construction	383
10/01/2007	hirings	construction	395
11/01/2007	hirings	construction	376
12/01/2007	hirings	construction	378
01/01/2008	hirings	construction	371
02/01/2008	hirings	construction	377
03/01/2008	hirings	construction	402
04/01/2008	hirings	construction	384
05/01/2008	hirings	construction	351
06/01/2008	hirings	construction	391
07/01/2008	hirings	construction	354
08/01/2008	hirings	construction	397
09/01/2008	hirings	construction	329
10/01/2008	hirings	construction	382
11/01/2008	hirings	construction	332
12/01/2008	hirings	construction	351
01/01/2009	hirings	construction	356
02/01/2009	hirings	construction	335
03/01/2009	hirings	construction	304
04/01/2009	hirings	construction	306
05/01/2009	hirings	construction	325
06/01/2009	hirings	construction	258
07/01/2009	hirings	construction	311
08/01/2009	hirings	construction	256
09/01/2009	hirings	construction	311
10/01/2009	hirings	construction	305
11/01/2009	hirings	construction	314
12/01/2009	hirings	construction	330
01/01/2010	hirings	construction	319
