code	year	month	date	value	category	type
JTS00000000HIL	2000	M12	12/1/2000	5395	hires	level
JTS00000000HIL	2001	M01	01/1/2001	5801	hires	level
JTS00000000HIL	2001	M02	02/1/2001	5434	hires	level
JTS00000000HIL	2001	M03	03/1/2001	5619	hires	level
JTS00000000HIL	2001	M04	04/1/2001	5335	hires	level
JTS00000000HIL	2001	M05	05/1/2001	5358	hires	level
JTS00000000HIL	2001	M06	06/1/2001	5083	hires	level
JTS00000000HIL	2001	M07	07/1/2001	5173	hires	level
JTS00000000HIL	2001	M08	08/1/2001	5076	hires	level
JTS00000000HIL	2001	M09	09/1/2001	4961	hires	level
JTS00000000HIL	2001	M10	10/1/2001	5016	hires	level
JTS00000000HIL	2001	M11	11/1/2001	4887	hires	level
JTS00000000HIL	2001	M12	12/1/2001	4788	hires	level
JTS00000000HIL	2002	M01	01/1/2002	4900	hires	level
JTS00000000HIL	2002	M02	02/1/2002	4883	hires	level
JTS00000000HIL	2002	M03	03/1/2002	4626	hires	level
JTS00000000HIL	2002	M04	04/1/2002	4930	hires	level
JTS00000000HIL	2002	M05	05/1/2002	4923	hires	level
JTS00000000HIL	2002	M06	06/1/2002	4821	hires	level
JTS00000000HIL	2002	M07	07/1/2002	5014	hires	level
JTS00000000HIL	2002	M08	08/1/2002	4881	hires	level
JTS00000000HIL	2002	M09	09/1/2002	4870	hires	level
JTS00000000HIL	2002	M10	10/1/2002	4803	hires	level
JTS00000000HIL	2002	M11	11/1/2002	4941	hires	level
JTS00000000HIL	2002	M12	12/1/2002	4930	hires	level
JTS00000000HIL	2003	M01	01/1/2003	5008	hires	level
JTS00000000HIL	2003	M02	02/1/2003	4681	hires	level
JTS00000000HIL	2003	M03	03/1/2003	4444	hires	level
JTS00000000HIL	2003	M04	04/1/2003	4689	hires	level
JTS00000000HIL	2003	M05	05/1/2003	4618	hires	level
JTS00000000HIL	2003	M06	06/1/2003	4772	hires	level
JTS00000000HIL	2003	M07	07/1/2003	4721	hires	level
JTS00000000HIL	2003	M08	08/1/2003	4666	hires	level
JTS00000000HIL	2003	M09	09/1/2003	4870	hires	level
JTS00000000HIL	2003	M10	10/1/2003	4898	hires	level
JTS00000000HIL	2003	M11	11/1/2003	4726	hires	level
JTS00000000HIL	2003	M12	12/1/2003	4967	hires	level
JTS00000000HIL	2004	M01	01/1/2004	4839	hires	level
JTS00000000HIL	2004	M02	02/1/2004	4690	hires	level
JTS00000000HIL	2004	M03	03/1/2004	5170	hires	level
JTS00000000HIL	2004	M04	04/1/2004	5115	hires	level
JTS00000000HIL	2004	M05	05/1/2004	4951	hires	level
JTS00000000HIL	2004	M06	06/1/2004	4949	hires	level
JTS00000000HIL	2004	M07	07/1/2004	4858	hires	level
JTS00000000HIL	2004	M08	08/1/2004	5129	hires	level
JTS00000000HIL	2004	M09	09/1/2004	4984	hires	level
