letter	language	frequency
a	French	7.64
b	French	0.9
c	French	3.26
d	French	3.67
e	French	14.72
f	French	1.07
g	French	0.87
h	French	0.74
i	French	7.53
j	French	0.55
k	French	0.05
l	French	5.46
m	French	2.97
n	French	7.1
o	French	5.38
p	French	2.52
q	French	1.36
r	French	6.55
s	French	7.95
t	French	7.24
u	French	6.31
v	French	1.63
w	French	0.07
x	French	0.43
y	French	0.13
z	French	0.33
ß	French	0
à	French	0.49
á	French	0
â	French	0.05
ã	French	0
ä	French	0
å	French	0
æ	French	0
ç	French	0.09
è	French	0.27
é	French	1.5
ê	French	0.23
ë	French	0
ì	French	0
í	French	0
î	French	0.05
ï	French	0.01
ð	French	0
ñ	French	0
ò	French	0
ó	French	0
ô	French	0.02
ö	French	0
ø	French	0
ù	French	0.06
ú	French	0
ü	French	0
ý	French	0
þ	French	0
ą	French	0
ć	French	0
ĉ	French	0
ę	French	0
ĝ	French	0
ğ	French	0
ĥ	French	0
ı	French	0
ĵ	French	0
ł	French	0
ń	French	0
œ	French	0.02
ś	French	0
ŝ	French	0
ş	French	0
ŭ	French	0
ź	French	0
ż	French	0
a	German	6.52
b	German	1.89
c	German	2.73
d	German	5.08
e	German	17.4
f	German	1.66
g	German	3.01
h	German	4.76
i	German	7.55
j	German	0.27
k	German	1.42
l	German	3.44
m	German	2.53
n	German	9.78
o	German	2.59
p	German	0.67
q	German	0.02
r	German	7
s	German	7.27
t	German	6.15
u	German	4.35
v	German	0.85
w	German	1.92
x	German	0.03
y	German	0.04
z	German	1.13
ß	German	0.31
à	German	0
á	German	0
â	German	0
ã	German	0
ä	German	0.45
å	German	0
æ	German	0
ç	German	0
è	German	0
é	German	0
ê	German	0
ë	German	0
ì	German	0
í	German	0
î	German	0
ï	German	0
ð	German	0
ñ	German	0
ò	German	0
ó	German	0
ô	German	0
ö	German	0.57
ø	German	0
ù	German	0
ú	German	0
ü	German	1
ý	German	0
þ	German	0
ą	German	0
ć	German	0
ĉ	German	0
ę	German	0
ĝ	German	0
ğ	German	0
ĥ	German	0
ı	German	0
ĵ	German	0
ł	German	0
ń	German	0
œ	German	0
ś	German	0
ŝ	German	0
ş	German	0
ŭ	German	0
ź	German	0
ż	German	0
a	Spanish	12.53
b	Spanish	2.22
c	Spanish	4.14
d	Spanish	5.86
e	Spanish	13.68
f	Spanish	0.69
g	Spanish	1.77
h	Spanish	0.7
i	Spanish	6.25
j	Spanish	0.44
k	Spanish	0.01
l	Spanish	4.97
m	Spanish	3.16
n	Spanish	6.71
o	Spanish	8.68
p	Spanish	2.51
q	Spanish	0.88
r	Spanish	6.87
s	Spanish	7.98
t	Spanish	4.63
u	Spanish	3.93
v	Spanish	1.14
w	Spanish	0.02
x	Spanish	0.22
y	Spanish	1.01
z	Spanish	0.52
ß	Spanish	0
à	Spanish	0
á	Spanish	0.5
â	Spanish	0
ã	Spanish	0
ä	Spanish	0
å	Spanish	0
æ	Spanish	0
ç	Spanish	0
è	Spanish	0
é	Spanish	0.43
ê	Spanish	0
ë	Spanish	0
ì	Spanish	0
í	Spanish	0.73
î	Spanish	0
ï	Spanish	0
ð	Spanish	0
ñ	Spanish	0.31
ò	Spanish	0
ó	Spanish	0.83
ô	Spanish	0
ö	Spanish	0
ø	Spanish	0
ù	Spanish	0
ú	Spanish	0.17
ü	Spanish	0.01
ý	Spanish	0
þ	Spanish	0
ą	Spanish	0
ć	Spanish	0
ĉ	Spanish	0
ę	Spanish	0
ĝ	Spanish	0
ğ	Spanish	0
ĥ	Spanish	0
ı	Spanish	0
ĵ	Spanish	0
ł	Spanish	0
ń	Spanish	0
œ	Spanish	0
ś	Spanish	0
ŝ	Spanish	0
ş	Spanish	0
ŭ	Spanish	0
ź	Spanish	0
ż	Spanish	0
a	Portuguese	14.63
b	Portuguese	1.04
c	Portuguese	3.88
d	Portuguese	4.99
e	Portuguese	12.57
f	Portuguese	1.02
g	Portuguese	1.3
h	Portuguese	0.78
i	Portuguese	6.19
j	Portuguese	0.4
k	Portuguese	0.02
l	Portuguese	2.78
m	Portuguese	4.74
n	Portuguese	5.05
o	Portuguese	10.74
p	Portuguese	2.52
q	Portuguese	1.2
r	Portuguese	6.53
s	Portuguese	7.81
t	Portuguese	4.74
u	Portuguese	4.63
v	Portuguese	1.67
w	Portuguese	0.04
x	Portuguese	0.25
y	Portuguese	0.01
z	Portuguese	0.47
ß	Portuguese	0
à	Portuguese	0.07
á	Portuguese	0.12
â	Portuguese	0.56
ã	Portuguese	0.73
ä	Portuguese	0
å	Portuguese	0
æ	Portuguese	0
ç	Portuguese	0.53
è	Portuguese	0
é	Portuguese	0.34
ê	Portuguese	0.45
ë	Portuguese	0
ì	Portuguese	0
í	Portuguese	0.13
î	Portuguese	0
ï	Portuguese	0
ð	Portuguese	0
ñ	Portuguese	0
ò	Portuguese	0
ó	Portuguese	0.3
ô	Portuguese	0.64
ö	Portuguese	0
ø	Portuguese	0
ù	Portuguese	0
ú	Portuguese	0.21
ü	Portuguese	0.03
ý	Portuguese	0
þ	Portuguese	0
ą	Portuguese	0
ć	Portuguese	0
ĉ	Portuguese	0
ę	Portuguese	0
ĝ	Portuguese	0
ğ	Portuguese	0
ĥ	Portuguese	0
ı	Portuguese	0
ĵ	Portuguese	0
ł	Portuguese	0
ń	Portuguese	0
œ	Portuguese	0
ś	Portuguese	0
ŝ	Portuguese	0
ş	Portuguese	0
ŭ	Portuguese	0
ź	Portuguese	0
ż	Portuguese	0
a	Esperanto	12.12
b	Esperanto	0.98
c	Esperanto	0.78
d	Esperanto	3.04
e	Esperanto	9
f	Esperanto	1.04
g	Esperanto	1.17
h	Esperanto	0.38
i	Esperanto	10.01
j	Esperanto	3.5
k	Esperanto	4.16
l	Esperanto	6.15
m	Esperanto	2.99
n	Esperanto	7.96
o	Esperanto	8.78
p	Esperanto	2.75
q	Esperanto	0
r	Esperanto	5.91
s	Esperanto	6.09
t	Esperanto	5.28
u	Esperanto	3.18
v	Esperanto	1.9
w	Esperanto	0
x	Esperanto	0
y	Esperanto	0
z	Esperanto	0.49
ß	Esperanto	0
à	Esperanto	0
á	Esperanto	0
â	Esperanto	0
ã	Esperanto	0
ä	Esperanto	0
å	Esperanto	0
æ	Esperanto	0
ç	Esperanto	0
è	Esperanto	0
é	Esperanto	0
ê	Esperanto	0
ë	Esperanto	0
ì	Esperanto	0
í	Esperanto	0
î	Esperanto	0
ï	Esperanto	0
ð	Esperanto	0
ñ	Esperanto	0
ò	Esperanto	0
ó	Esperanto	0
ô	Esperanto	0
ö	Esperanto	0
ø	Esperanto	0
ù	Esperanto	0
ú	Esperanto	0
ü	Esperanto	0
ý	Esperanto	0
þ	Esperanto	0
ą	Esperanto	0
ć	Esperanto	0
ĉ	Esperanto	0.66
ę	Esperanto	0
ĝ	Esperanto	0.69
ğ	Esperanto	0
ĥ	Esperanto	0.02
ı	Esperanto	0
ĵ	Esperanto	0.06
ł	Esperanto	0
ń	Esperanto	0
œ	Esperanto	0
ś	Esperanto	0
ŝ	Esperanto	0.39
ş	Esperanto	0
ŭ	Esperanto	0.52
ź	Esperanto	0
ż	Esperanto	0
a	Italian	11.75
b	Italian	0.93
c	Italian	4.5
d	Italian	3.74
e	Italian	11.79
f	Italian	1.15
g	Italian	1.64
h	Italian	0.64
i	Italian	11.28
j	Italian	0.01
k	Italian	0.01
l	Italian	6.51
m	Italian	2.51
n	Italian	6.88
o	Italian	9.83
p	Italian	3.06
q	Italian	0.51
r	Italian	6.37
s	Italian	4.98
t	Italian	5.62
u	Italian	3.01
v	Italian	2.1
w	Italian	0.03
x	Italian	0
y	Italian	0.02
z	Italian	1.18
ß	Italian	0
à	Italian	0.64
á	Italian	0
â	Italian	0
ã	Italian	0
ä	Italian	0
å	Italian	0
æ	Italian	0
ç	Italian	0
è	Italian	0.26
é	Italian	0
ê	Italian	0
ë	Italian	0
ì	Italian	0.03
í	Italian	0
î	Italian	0
ï	Italian	0
ð	Italian	0
ñ	Italian	0
ò	Italian	0
ó	Italian	0
ô	Italian	0
ö	Italian	0
ø	Italian	0
ù	Italian	0.17
ú	Italian	0
ü	Italian	0
ý	Italian	0
þ	Italian	0
ą	Italian	0
ć	Italian	0
ĉ	Italian	0
ę	Italian	0
ĝ	Italian	0
ğ	Italian	0
ĥ	Italian	0
ı	Italian	0
ĵ	Italian	0
ł	Italian	0
ń	Italian	0
œ	Italian	0
ś	Italian	0
ŝ	Italian	0
ş	Italian	0
ŭ	Italian	0
ź	Italian	0
ż	Italian	0
a	Turkish	11.68
b	Turkish	2.95
c	Turkish	0.97
d	Turkish	4.87
e	Turkish	9.01
f	Turkish	0.44
g	Turkish	1.34
h	Turkish	1.15
i	Turkish	8.274
j	Turkish	0.05
k	Turkish	4.72
l	Turkish	5.75
m	Turkish	3.75
n	Turkish	7.23
o	Turkish	2.65
p	Turkish	0.79
q	Turkish	0
r	Turkish	6.95
s	Turkish	2.95
t	Turkish	3.05
u	Turkish	3.43
v	Turkish	0.98
w	Turkish	0.02
x	Turkish	0.01
y	Turkish	3.37
z	Turkish	1.5
ß	Turkish	0
à	Turkish	0
á	Turkish	0
â	Turkish	0
ã	Turkish	0
ä	Turkish	0
å	Turkish	0
æ	Turkish	0
ç	Turkish	0.83
è	Turkish	0
é	Turkish	0
ê	Turkish	0
ë	Turkish	0
ì	Turkish	0
í	Turkish	0
î	Turkish	0
ï	Turkish	0
ð	Turkish	0
ñ	Turkish	0
ò	Turkish	0
ó	Turkish	0
ô	Turkish	0
ö	Turkish	0.27
ø	Turkish	0
ù	Turkish	0
ú	Turkish	0
ü	Turkish	1.99
ý	Turkish	0
þ	Turkish	0
ą	Turkish	0
ć	Turkish	0
ĉ	Turkish	0
ę	Turkish	0
ĝ	Turkish	0
ğ	Turkish	1.13
ĥ	Turkish	0
ı	Turkish	5.199
ĵ	Turkish	0
ł	Turkish	0
ń	Turkish	0
œ	Turkish	0
ś	Turkish	0
ŝ	Turkish	0
ş	Turkish	1.94
ŭ	Turkish	0
ź	Turkish	0
ż	Turkish	0
a	Swedish	9.38
b	Swedish	1.54
c	Swedish	1.49
d	Swedish	4.7
e	Swedish	10.15
f	Swedish	2.03
g	Swedish	2.86
h	Swedish	2.09
i	Swedish	5.82
j	Swedish	0.61
k	Swedish	3.14
l	Swedish	5.28
m	Swedish	3.47
n	Swedish	8.54
o	Swedish	4.48
p	Swedish	1.84
q	Swedish	0.02
r	Swedish	8.43
s	Swedish	6.59
t	Swedish	7.69
u	Swedish	1.92
v	Swedish	2.42
w	Swedish	0.14
x	Swedish	0.16
y	Swedish	0.71
z	Swedish	0.07
ß	Swedish	0
à	Swedish	0
á	Swedish	0
â	Swedish	0
ã	Swedish	0
ä	Swedish	1.8
å	Swedish	1.34
æ	Swedish	0
ç	Swedish	0
è	Swedish	0
é	Swedish	0
ê	Swedish	0
ë	Swedish	0
ì	Swedish	0
í	Swedish	0
î	Swedish	0
ï	Swedish	0
ð	Swedish	0
ñ	Swedish	0
ò	Swedish	0
ó	Swedish	0
ô	Swedish	0
ö	Swedish	1.31
ø	Swedish	0
ù	Swedish	0
ú	Swedish	0
ü	Swedish	0
ý	Swedish	0
þ	Swedish	0
ą	Swedish	0
ć	Swedish	0
ĉ	Swedish	0
ę	Swedish	0
ĝ	Swedish	0
ğ	Swedish	0
ĥ	Swedish	0
ı	Swedish	0
ĵ	Swedish	0
ł	Swedish	0
ń	Swedish	0
œ	Swedish	0
ś	Swedish	0
ŝ	Swedish	0
ş	Swedish	0
ŭ	Swedish	0
ź	Swedish	0
ż	Swedish	0
a	Polish	11.5
b	Polish	1.74
c	Polish	3.9
d	Polish	4.23
e	Polish	8.35
f	Polish	0.14
g	Polish	1.73
h	Polish	1.02
i	Polish	9.33
j	Polish	1.84
k	Polish	2.75
l	Polish	3.06
m	Polish	2.52
n	Polish	6.74
o	Polish	7.17
p	Polish	2.45
q	Polish	0
r	Polish	5.74
s	Polish	6.22
t	Polish	2.48
u	Polish	2.06
v	Polish	0
w	Polish	6.31
x	Polish	0
y	Polish	3.21
z	Polish	5.85
ß	Polish	0
à	Polish	0
á	Polish	0
â	Polish	0
ã	Polish	0
ä	Polish	0
å	Polish	0
æ	Polish	0
ç	Polish	0
è	Polish	0
é	Polish	0
ê	Polish	0
ë	Polish	0
ì	Polish	0
í	Polish	0
î	Polish	0
ï	Polish	0
ð	Polish	0
ñ	Polish	0
ò	Polish	0
ó	Polish	1.14
ô	Polish	0
ö	Polish	0
ø	Polish	0
ù	Polish	0
ú	Polish	0
ü	Polish	0
ý	Polish	0
þ	Polish	0
ą	Polish	0.7
ć	Polish	0.74
ĉ	Polish	0
ę	Polish	1.04
ĝ	Polish	0
ğ	Polish	0
ĥ	Polish	0
ı	Polish	0
ĵ	Polish	0
ł	Polish	2.11
ń	Polish	0.36
œ	Polish	0
ś	Polish	0.81
ŝ	Polish	0
ş	Polish	0
ŭ	Polish	0
ź	Polish	0.08
ż	Polish	0.71
a	Dutch	7.49
b	Dutch	1.58
c	Dutch	1.24
d	Dutch	5.93
e	Dutch	18.91
f	Dutch	0.81
g	Dutch	3.4
h	Dutch	2.38
i	Dutch	6.5
j	Dutch	1.46
k	Dutch	2.25
l	Dutch	3.57
m	Dutch	2.21
n	Dutch	10.03
o	Dutch	6.06
p	Dutch	1.37
q	Dutch	0.01
