year	race	households	currentmedian	median2012	currentmean	mean2012
2012	overall	122459	51017	51017	71274	71274
2011	overall	121084	50054	51100	69677	71133
2010	overall	119927	49276	51892	67392	70970
2009	overall	117538	49777	53285	67976	72767
2008	overall	117181	50303	53644	68424	72968
2007	overall	116783	50233	55627	67609	74869
2006	overall	116011	48201	54892	66570	75810
2005	overall	114384	46326	54486	63344	74502
2004	overall	113343	44334	53891	60466	73501
2003	overall	112000	43318	54079	59067	73741
2002	overall	111278	42409	54127	57852	73837
2001	overall	109297	42228	54766	58208	75491
2000	overall	108209	41990	55987	57135	76180
1999	overall	106434	40696	56080	54737	75428
1998	overall	103874	38885	54702	51855	72947
1997	overall	102528	37005	52784	49692	70880
1996	overall	101018	35492	51720	47123	68668
1995	overall	99627	34076	50978	44938	67228
1994	overall	98990	32264	49429	43133	66081
1993	overall	97107	31241	48884	41428	64824
1992	overall	96426	30636	49122	38840	62277
1991	overall	95669	30126	49529	37922	62347
1990	overall	94312	29943	50994	37403	63698
1989	overall	93347	28906	51681	36520	65295
1988	overall	92830	27225	50776	34017	63443
1987	overall	91124	26061	50389	32410	62664
1986	overall	89479	24897	49764	30759	61482
1985	overall	88458	23618	48063	29066	59149
1984	overall	86789	22415	47181	27464	57808
1983	overall	85407	20885	45760	25401	55654
1982	overall	83918	20171	46082	24309	55535
1981	overall	83527	19074	46205	22787	55200
1980	overall	82368	17710	46985	21063	55881
1979	overall	80776	16461	48520	19554	57636
1978	overall	77330	15064	48655	17730	57266
1977	overall	76030	13572	46842	16100	55567
1976	overall	74142	12686	46548	14922	54752
1975	overall	72867	11800	45788	13779	53467
1974	overall	71163	11197	47019	13094	54985
1973	overall	69859	10512	48557	12157	56155
1972	overall	68251	9697	47596	11286	55395
1971	overall	66676	9028	45641	10383	52491
1970	overall	64778	8734	46089	10001	52775
1969	overall	63401	8389	46449	9544	52845
1968	overall	62214	7743	44785	8760	50667
1967	overall	60813	7143	42934	7989	48019
2012	white	97705	53706	53706	74416	74416
2011	white	96964	52214	53305	72812	74333
2010	white	96306	51709	54454	70412	74150
2009	white	95489	51861	55516	70544	75516
2008	white	95297	52312	55786	71191	75919
2007	white	95112	52115	57712	70331	77884
2006	white	94705	50673	57707	69107	78699
2005	white	93588	48554	57106	65962	77581
2004	white	92880	46658	56716	62909	76470
2003	white	91962	45631	56967	61587	76887
2002	white	91645	45086	57544	60166	76790
2001	white	90682	44517	57735	60512	78479
2000	white	90030	43916	58555	59254	79005
1999	white	88893	42325	58324	56726	78169
1998	white	87212	40912	57553	54207	76256
1997	white	86106	38972	55590	51902	74033
1996	white	85059	37161	54152	48994	71395
1995	white	84511	35766	53506	46729	69907
1994	white	83737	34028	52132	45034	68993
1993	white	82387	32960	51574	43285	67729
1992	white	81795	32209	51645	40594	65089
1991	white	81675	31569	51902	39523	64979
1990	white	80968	31231	53187	38912	66268
1989	white	80163	30406	54363	38041	68014
1988	white	79734	28781	53678	35468	66149
1987	white	78519	27458	53090	33795	65342
1986	white	77284	26175	52319	32040	64042
1985	white	76576	24908	50688	30259	61577
1984	white	75328	23647	49774	28597	60193
1983	white	74376	21902	47988	26455	57964
1982	white	73182	21117	48243	25311	57824
1981	white	72845	20153	48819	23742	57513
1980	white	71872	18684	49569	21913	58136
1979	white	70766	17259	50872	20325	59909
1978	white	68028	15660	50580	18387	59388
1977	white	66934	14272	49258	16729	57738
1976	white	65353	13289	48760	15496	56858
1975	white	64392	12340	47883	14288	55442
1974	white	62984	11710	49173	13579	57022
1973	white	61965	11017	50889	12627	58326
1972	white	60618	10173	49932	11725	57550
1971	white	59463	9443	47739	10759	54392
1970	white	57575	9097	48005	10351	54622
1969	white	56248	8755	48476	9898	54805
1968	white	55394	8062	46630	9075	52489
1967	white	54188	7449	44774	8281	49775
2012	nhwhite	83792	57009	57009	77843	77843
2011	nhwhite	83573	55412	56570	76063	77652
2010	nhwhite	83314	54460	57351	73333	77226
2009	nhwhite	83158	54461	58299	73240	78402
2008	nhwhite	82884	55530	59218	74102	79023
2007	nhwhite	82765	54920	60818	73182	81041
2006	nhwhite	82675	52423	59700	71745	81704
2005	nhwhite	82003	50784	59729	68603	80687
2004	nhwhite	81628	48910	59454	65258	79326
2003	nhwhite	81148	47777	59646	63887	79758
2002	nhwhite	81166	46900	59859	62115	79278
2001	nhwhite	80818	46305	60054	62444	80985
2000	nhwhite	80527	45623	60831	61057	81409
1999	nhwhite	79819	44157	60849	58586	80732
1998	nhwhite	78577	42439	59701	55943	78698
1997	nhwhite	77936	40577	57879	53565	76405
1996	nhwhite	77240	38787	56521	50476	73554
1995	nhwhite	76932	37178	55619	48253	72187
1994	nhwhite	77004	35126	53814	46181	70751
1993	nhwhite	75697	34173	53472	44426	69515
1992	nhwhite	75107	33290	53378	41625	66743
1991	nhwhite	75625	32323	53141	40371	66373
1990	nhwhite	75035	31945	54403	39774	67736
1989	nhwhite	74495	31060	55533	38803	69376
1988	nhwhite	74067	29574	55157	36192	67500
1987	nhwhite	73120	28213	54549	34456	66620
1986	nhwhite	72067	26770	53508	32676	65313
1985	nhwhite	71540	25468	51827	30848	62776
1984	nhwhite	70586	24138	50807	29094	61239
1982	nhwhite	69214	21471	49052	25683	58674
1981	nhwhite	68996	20444	49524	24041	58237
1980	nhwhite	68106	19015	50447	22201	58900
1979	nhwhite	67203	17502	51588	20560	60602
1978	nhwhite	64836	15955	51533	18604	60089
1977	nhwhite	63721	14555	50235	16936	58453
1976	nhwhite	62365	13560	49754	15695	57588
1975	nhwhite	61533	12433	48244	14463	56121
1974	nhwhite	60164	11810	49593	13732	57664
1973	nhwhite	59236	11114	51338	12768	58978
1972	nhwhite	58005	10318	50644	11861	58217
2012	black	15872	33321	33321	47737	47737
2011	black	15583	32229	32902	47255	48242
2010	black	15265	32124	33830	44957	47344
2009	black	14730	32584	34880	46046	49291
2008	black	14595	34218	36491	46533	49623
2007	black	14551	33916	37558	46631	51639
2006	black	14354	31969	36406	45127	51391
2005	black	14002	30858	36293	42454	49932
2004	black	13809	30095	36583	40633	49392
2003	black	13629	29645	37010	40131	50101
2002	black	13465	29026	37046	40011	51066
2001	black	13315	29470	38220	39248	50902
2000	black	13174	29667	39556	39178	52237
1999	black	12838	27910	38460	38462	53001
1998	black	12579	25351	35663	34139	48025
1997	black	12474	25050	35731	32963	47018
1996	black	12109	23482	34218	32460	47301
1995	black	11577	22393	33500	30400	45479
1994	black	11655	21027	32214	29259	44826
1993	black	11281	19533	30564	27229	42606
1992	black	11269	18755	30072	25450	40807
1991	black	11083	18807	30920	25043	41173
1990	black	10671	18676	31806	24814	42259
1989	black	10486	18083	32331	23995	42901
1988	black	10561	16407	30600	22477	41921
1987	black	10192	15672	30302	21161	40915
1986	black	9922	15080	30142	20232	40440
1985	black	9797	14819	30157	19335	39347
1984	black	9480	13471	28355	17966	37816
1983	black	9236	12429	27232	16531	36220
1982	black	8916	11968	27342	15747	35975
1981	black	8961	11309	27395	14856	35987
1980	black	8847	10764	28557	13970	37063
1979	black	8586	10133	29868	13002	38324
1978	black	8066	9411	30396	12027	38846
1977	black	7977	8422	29068	10791	37244
1976	black	7776	7902	28994	10096	37044
1975	black	7489	7408	28745	9247	35881
1974	black	7263	6964	29244	8661	36370
1973	black	7040	6485	29955	8053	37198
1972	black	6809	5938	29145	7501	36817
1971	black	6578	5578	28199	6912	34943
1970	black	6180	5537	29219	6761	35678
1969	black	6053	5292	29302	6300	34883
1968	black	5870	4754	27497	5790	33489
1967	black	5728	4325	25996	5197	31238
2012	asian	5560	68636	68636	91400	91400
2011	asian	5374	65129	66490	85644	87433
2010	asian	5212	64259	67671	84584	89075
2009	asian	4687	65469	70083	90811	97211
2008	asian	4573	65637	69996	86185	91909
2007	asian	4494	66103	73202	85018	94148
2006	asian	4454	64238	73155	88293	100548
2005	asian	4273	61094	71855	80096	94204
2004	asian	4123	57504	69900	76517	93012
2003	asian	4040	55699	69536	69973	87356
2002	asian	3917	52626	67167	70047	89401
2001	asian	4071	53635	69560	73159	94882
2000	asian	3963	55757	74343	72797	97063
1999	asian	3742	50960	70224	67387	92860
1998	asian	3308	46637	65607	60208	84698
1997	asian	3125	45249	64543	58890	84000
1996	asian	2998	43276	63063	56547	82401
1995	asian	2777	40614	60759	55228	82621
1994	asian	2040	40482	62020	52562	80527
1993	asian	2233	38347	60003	50244	78618
1992	asian	2262	37801	60611	46850	75120
1991	asian	2094	36449	59925	46278	76085
1990	asian	1958	38450	65482	46412	79041
1989	asian	1988	36102	64547	44880	80241
1988	asian	1913	32267	60179	40341	75238
2012	hispanic	15589	39005	39005	53422	53422
2011	hispanic	14939	38624	39431	52352	53446
2010	hispanic	14435	37631	39629	51394	54123
2009	hispanic	13298	38039	40720	52229	55910
2008	hispanic	13425	37913	40431	51572	54997
2007	hispanic	13339	38679	42833	50828	56286
2006	hispanic	12973	37781	43025	50575	57595
2005	hispanic	12519	35967	42302	47138	55441
2004	hispanic	12178	34271	41659	45877	55767
2003	hispanic	11693	32997	41194	44468	55515
2002	hispanic	11339	33103	42250	44887	57290
2001	hispanic	10499	33565	43531	44383	57561
2000	hispanic	10034	33168	44224	43978	58637
1999	hispanic	9579	30746	42368	40390	55658
1998	hispanic	9060	28330	39853	38280	53851
1997	hispanic	8590	26628	37982	35883	51183
1996	hispanic	8225	24906	36293	34005	49553
1995	hispanic	7939	22860	34199	31201	46677
1994	hispanic	7735	23421	35882	31582	48385
1993	hispanic	7362	22886	35810	30291	47397
1992	hispanic	7153	22597	36233	28822	46214
1991	hispanic	6379	22691	37306	28872	47468
1990	hispanic	6220	22330	38029	27972	47637
1989	hispanic	5933	21921	39193	27992	50047
1988	hispanic	5910	20359	37970	25993	48478
1987	hispanic	5642	19336	37386	24786	47923
1986	hispanic	5418	18352	36682	23173	46319
1985	hispanic	5213	17465	35541	21823	44410
1984	hispanic	4883	16992	35766	21129	44474
1983	hispanic	4326	15906	34851	19369	42438
1982	hispanic	4085	15178	34675	18732	42794
1981	hispanic	3980	15300	37063	18373	44507
1980	hispanic	3906	13651	36217	16674	44237
1979	hispanic	3684	13042	38442	15780	46512
1978	hispanic	3291	11803	38122	13942	45031
1977	hispanic	3304	10647	36747	12565	43367
1976	hispanic	3081	9569	35111	11308	41491
1975	hispanic	2948	8865	34399	10524	40837
1974	hispanic	2897	8906	37399	10317	43324
1973	hispanic	2722	8144	37619	9462	43707
1972	hispanic	2655	7677	37681	8824	43311
