Country	gdpPPP	Region	usIncome
Bhutan	6370	South Asia	17843
Marshall Islands	8990	East Asia & Pacific	26914
Mongolia	5885	East Asia & Pacific	31915
Sudan	2631	Sub-Saharan Africa	32165
Yemen	2316	Middle East & North Africa	34667
Dominica	14283	Latin America & Caribbean	34925
Dominican Republic	9911	Latin America & Caribbean	34925
Honduras	4839	Latin America & Caribbean	37901
Liberia	703	Sub-Saharan Africa	40277
Mexico	15563	Latin America & Caribbean	40588
Guatemala	5282	Latin America & Caribbean	41372
Republic of Congo	4791	Africa	41563
The Bahamas	32036	Latin America & Caribbean	41925
Haiti	1315	Latin America & Caribbean	44135
El Salvador	7515	Latin America & Caribbean	44322
St. Lucia	12730	Latin America & Caribbean	45073
Nepal	1508	South Asia	46351
Jordan	6115	Middle East & North Africa	47692
St. Vincent and the Grenadines	12207	Latin America & Caribbean	48147
Uruguay	16723	Latin America & Caribbean	48991
Grenada	13724	Latin America & Caribbean	49097
Ecuador	10080	Latin America & Caribbean	49755
Brazil	12221	Latin America & Caribbean	49830
Panama	16658	Latin America & Caribbean	49834
Peru	11124	Latin America & Caribbean	50179
Costa Rica	12942	Latin America & Caribbean	50197
Tonga	8168	East Asia & Pacific	50257
Colombia	11189	Latin America & Caribbean	50731
Paraguay	6823	Latin America & Caribbean	50930
Ghana	3461	Sub-Saharan Africa	51067
Thailand	9875	East Asia & Pacific	52367
Venezuela	13605	Latin America & Caribbean	52435
Samoa	6210	East Asia & Pacific	52588
Algeria	7534	Middle East & North Africa	52815
Korea	33189	East Asia & Pacific	53154
Albania	9506	Europe & Central Asia	54356
Guyana	8250	Latin America & Caribbean	54943
France	35784	Europe & Central Asia	55071
Laos	3068	East Asia & Pacific	55119
Armenia	6191	Europe & Central Asia	56674
Argentina	18749	Latin America & Caribbean	56918
Nigeria	2831	Sub-Saharan Africa	57375
Cameroon	2423	Sub-Saharan Africa	57589
Bulgaria	14499	Europe & Central Asia	58437
Finland	35617	Europe & Central Asia	59379
Germany	40007	Europe & Central Asia	59383
Indonesia	5214	East Asia & Pacific	59509
Slovakia	24605	Europe & Central Asia	59954
Portugal	23068	Europe & Central Asia	60251
Palau	23666	East Asia & Pacific	60471
Malaysia	17748	East Asia & Pacific	60613
Norway	54947	Europe & Central Asia	60935
Pakistan	3149	South Asia	61279
Macedonia	10904	Europe & Central Asia	61409
Bolivia	5364	Latin America & Caribbean	61501
Sweden	41188	Europe & Central Asia	61549
Canada	43472	North America	61716
Denmark	37900	Europe & Central Asia	61920
Hungary	20065	Europe & Central Asia	62002
Poland	21214	Europe & Central Asia	62862
Luxembourg	78670	Europe & Central Asia	63841
Greece	24012	Europe & Central Asia	64227
Italy	30289	Europe & Central Asia	64301
Iceland	41000	Europe & Central Asia	64403
Slovenia	27900	Europe & Central Asia	65269
Sri Lanka	6531	South Asia	65606
Japan	36899	East Asia & Pacific	66443
Fiji	5085	East Asia & Pacific	67003
Lithuania	22747	Europe & Central Asia	67493
Iran	12264	Middle East & North Africa	68028
Russia	17884	Europe & Central Asia	72179
United Kingdom	37307	Europe & Central Asia	72268
Taiwan	39767	East Asia & Pacific	73988
South Africa	11259	Sub-Saharan Africa	81912
