Country	Year	Births	Deaths	Migration	Natural	Growth	Population	Births	Deaths	NetMigration	Increase	PopGrowth
Mongolia	1989	38.5	11	-2.8	2.76	2.48	2069928	79754	22666	-5775	57089	51314
Mongolia	1990	38	10.9	-2.7	2.71	2.43	2121375	80506	23123	-5770	57383	51613
Mongolia	1991	33.5	10.2	-2.7	2.33	2.06	2169556	72745	22216	-5771	50529	44758
Mongolia	1992	28.6	9.5	-2.6	1.91	1.65	2210189	63189	20908	-5769	42281	36512
Mongolia	1993	23.7	8.7	-2.6	1.49	1.23	2242277	53030	19575	-5785	33455	27670
Mongolia	1994	24.8	8.3	-2.5	1.66	1.4	2272058	56438	18767	-5771	37671	31900
Mongolia	1995	26.5	8.1	-2.5	1.85	1.6	2306417	61189	18567	-5789	42623	36833
Mongolia	1996	23.8	7.8	-2.5	1.6	1.36	2340705	55756	18234	-5782	37522	31740
Mongolia	1997	23	7.5	-2.4	1.55	1.3	2372034	54438	17743	-5788	36695	30908
Mongolia	1998	22.3	7.3	-2.4	1.5	1.26	2402673	53604	17467	-5766	36136	30370
Mongolia	1999	21.7	7.1	-2.4	1.46	1.22	2432721	52741	17248	-5790	35493	29704
Mongolia	2000	20	6.9	-2.4	1.31	1.08	2460815	49266	17004	-5783	32261	26478
Mongolia	2001	19.9	6.8	-1	1.32	1.21	2489156	49584	16852	-2489	32732	30243
Mongolia	2002	19.1	6.7	-1	1.24	1.14	2518612	48005	16799	-2493	31206	28712
Mongolia	2003	18.3	6.6	-1	1.17	1.07	2546571	46475	16756	-2496	29718	27223
Mongolia	2004	18.3	6.5	-1	1.18	1.09	2574146	47184	16758	-2497	30426	27929
Mongolia	2005	18.4	6.5	-1	1.2	1.1	2602416	47989	16864	-2498	31125	28627
Mongolia	2006	19.6	6.5	-1	1.31	1.22	2632747	51602	17060	-2501	34542	32041
Mongolia	2007	20.5	6.5	-0.9	1.4	1.31	2666190	54630	17304	-2506	37327	34820
Mongolia	2008	21.3	6.5	-0.9	1.48	1.39	2702400	57642	17566	-2513	40077	37563
Mongolia	2009	22.2	6.5	-0.9	1.57	1.48	2741412	60777	17847	-2495	42931	40436
Mongolia	2010	23.1	6.5	-0.9	1.66	1.57	2783419	64213	18148	-2505	46066	43561
Mongolia	2011	22.7	6.5	-0.9	1.62	1.53	2826886	64283	18403	-2488	45880	43393
Mongolia	2012	22.3	6.5	-0.9	1.58	1.49	2869964	63857	18569	-2497	45288	42791
Mongolia	2013	21.6	6.4	-0.9	1.52	1.43	2912192	62874	18696	-2504	44178	41673
Mongolia	2014	20.9	6.4	-0.9	1.45	1.37	2953190	61663	18841	-2510	42821	40311
Mongolia	2015	20.3	6.4	-0.8	1.39	1.31	2992908	60606	19005	-2514	41601	39087
Mongolia	2016	19.6	6.3	-0.8	1.33	1.25	3031330	59414	19158	-2486	40256	37770
Mongolia	2017	18.9	6.3	-0.8	1.26	1.18	3068243	57928	19361	-2485	38568	36083
Mongolia	2018	18.2	6.3	-0.8	1.19	1.11	3103428	56327	19552	-2514	36776	34262
Mongolia	2019	17.4	6.3	-0.8	1.11	1.03	3136737	54579	19761	-2509	34818	32308
Mongolia	2020	16.6	6.3	-0.8	1.03	0.96	3168026	52716	19990	-2503	32726	30223
Mongolia	2021	16.1	6.3	-0.8	0.98	0.9	3197529	51480	20240	-2494	31240	28746
Mongolia	2022	15.6	6.4	-0.8	0.92	0.85	3225568	50319	20515	-2516	29804	27288
Mongolia	2023	15.1	6.4	-0.8	0.88	0.8	3252195	49238	20782	-2504	28457	25953
Mongolia	2024	14.7	6.4	-0.8	0.82	0.75	3277423	48113	21107	-2491	27006	24515
Mongolia	2025	14.2	6.5	-0.8	0.77	0.7	3301176	46910	21425	-2509	25485	22976
Mongolia	2026	13.8	6.6	-0.8	0.73	0.65	3323506	45931	21769	-2493	24162	21669
Mongolia	2027	13.5	6.6	-0.8	0.69	0.62	3344643	45220	22142	-2508	23078	20570
Mongolia	2028	13.3	6.7	-0.7	0.66	0.59	3364818	44786	22511	-2490	22275	19785
Mongolia	2029	13.1	6.8	-0.7	0.64	0.56	3384187	44434	22945	-2504	21490	18985
Mongolia	2030	13	6.9	-0.7	0.61	0.54	3402798	44100	23377	-2484	20723	18239
Mongolia	2031	12.9	7	-0.7	0.59	0.52	3420800	44094	23843	-2497	20251	17754
Mongolia	2032	12.9	7.1	-0.7	0.58	0.51	3438409	44287	24310	-2510	19977	17467
Mongolia	2033	12.9	7.2	-0.7	0.57	0.5	3455766	44579	24812	-2488	19767	17279
Mongolia	2034	12.9	7.3	-0.7	0.56	0.49	3472938	44905	25318	-2501	19587	17087
