Year	Population	Area	Density
1990	168903	18275	9.2
1991	173326	18275	9.5
1992	177763	18275	9.7
1993	182460	18275	10
1994	187446	18275	10.3
1995	191780	18275	10.5
1996	195528	18275	10.7
1997	199383	18275	10.9
1998	203244	18275	11.1
1999	207179	18275	11.3
2000	211189	18275	11.6
2001	215277	18275	11.8
2002	219443	18275	12
2003	223689	18275	12.2
2004	228022	18275	12.5
2005	232397	18275	12.7
2006	236513	18275	12.9
2007	240454	18275	13.2
2008	244447	18275	13.4
2009	248406	18275	13.6
2010	252352	18275	13.8
2011	256275	18275	14
2012	260166	18275	14.2
2013	264022	18275	14.4
2014	267840	18275	14.7
