date	CES1000000001	CES2000000001	CES3100000001	CES3200000001	CES4142000001	CES4200000001	CES4300000001	CES4422000001	CES5000000001	CES5500000001	CES6000000001	CES8000000001	CES9000000001	CES6562000001	CES6561000001	CES7071000001	CES7072100001	CES7072200001
01/01/2000	592	6752	10844	6439	5954.1	15181.4	4373.6	605.9	3550	7770	16418	5145	20571	12748.2	2351.2	1745.5	1851.8	8115.6
02/01/2000	594	6730	10849	6435	5956.3	15196.8	4381.3	605	3569	7771	16469	5154	20599	12761	2349	1744.3	1848.6	8125.8
03/01/2000	592	6811	10870	6432	5971.1	15220.3	4390.7	603.3	3591	7767	16538	5160	20733	12779.3	2359.9	1759.4	1863.8	8164.6
04/01/2000	596	6794	10867	6431	5959.2	15298.4	4397.2	602.4	3608	7764	16622	5159	20802	12789.6	2369.2	1783.7	1880.2	8170.4
05/01/2000	598	6770	10871	6408	5945.8	15253	4392	601	3614	7762	16590	5154	21147	12807.6	2378.6	1782.4	1882.5	8162.5
06/01/2000	598	6778	10909	6389	5944.7	15258.6	4403.1	599.7	3642	7767	16659	5161	20887	12821.4	2387.6	1799	1895.2	8174.6
07/01/2000	601	6794	10929	6393	5934.1	15287	4413.5	599.4	3658	7765	16706	5162	20867	12845	2396.5	1813.9	1897.5	8188.4
08/01/2000	600	6796	10913	6375	5924.4	15298.2	4425.6	599.5	3583	7776	16735	5169	20837	12867.5	2410	1811.3	1897.3	8218.3
09/01/2000	605	6807	10874	6356	5909.9	15317.3	4416.1	598.4	3674	7797	16810	5182	20735	12922.8	2425.8	1799.3	1899.2	8241.4
10/01/2000	607	6814	10875	6343	5909	15324.3	4429.3	600.1	3676	7810	16808	5187	20743	12950.6	2404.1	1799.5	1901.4	8174.8
11/01/2000	604	6817	10880	6323	5903.2	15338.5	4445.1	599.4	3684	7823	16867	5191	20760	12978.4	2422.6	1801.8	1901.2	8243.4
12/01/2000	602	6792	10863	6319	5883.8	15376	4473.9	601.3	3705	7838	16837	5196	20804	13016.6	2440.1	1790.4	1902.5	8283.2
01/01/2001	605	6824	10802	6300	5860.2	15359.6	4438.8	599.7	3709	7846	16828	5204	20835	13059	2446.7	1798.5	1895.4	8283
02/01/2001	605	6841	10762	6265	5841.5	15378	4436.1	599.8	3716	7866	16793	5198	20906	13104.4	2457.6	1799	1891.4	8306.2
03/01/2001	609	6862	10692	6245	5821.5	15348	4441.1	599.7	3717	7885	16756	5201	20945	13144.1	2474.7	1804.5	1890.5	8304.6
04/01/2001	608	6844	10594	6208	5805.4	15256.7	4421.4	598.9	3686	7889	16638	5219	20992	13179	2481	1828.7	1883.4	8327.7
05/01/2001	609	6849	10488	6173	5790	15262.6	4420.1	599.6	3662	7900	16596	5238	21029	13221.1	2516.5	1839.2	1875.2	8354
06/01/2001	610	6840	10386	6131	5770.3	15257	4399.3	600.6	3642	7902	16525	5250	21137	13268.7	2498	1835.4	1865.8	8374.7
07/01/2001	610	6845	10284	6097	5761.1	15207.3	4399.2	599.8	3619	7891	16473	5268	21185	13319.8	2509.5	1844.1	1862.9	8402.8
08/01/2001	608	6827	10195	6038	5753.7	15206.3	4394.1	599.2	3599	7917	16406	5279	21218	13360.2	2526.6	1844.7	1854.1	8393.9
09/01/2001	607	6813	10115	6002	5743.6	15195	4334.9	599	3584	7919	16327	5293	21242	13397.2	2545.2	1833.6	1840.1	8387.7
10/01/2001	602	6804	10003	5970	5727.5	15169.7	4300.4	597.9	3556	7925	16225	5298	21275	13437.3	2547.2	1833.2	1803.6	8377.8
