label	comments	url	date	tier	ran	context	type
April job gains	This was my first attempt at the monthly unemployment report, which the WSJ treats as kind of a big deal.	http://si.wsj.net/public/resources/images/P1-BQ004A_ECONO_J_20140502182410.jpg	5/1/2014	one	WSJ front page	http://online.wsj.com/news/interactive/ECONOMY0503?ref=SB10001424052702304178104579537464110122066	static
How health care subsides are calculated	Obamacare's subsidy caculations are hilariously arcane and nobody understands them. Except Christopher Weaver. And he explained them to me, so that I could visually explain them to everybody else.	http://si.wsj.net/public/resources/images/OG-AA948_SUBSID_G_20140311121508.jpg	2/1/2014	one	WSJ.com	http://online.wsj.com/news/articles/SB10001424052702304704504579431553433457512	static
Divided D.C.		http://si.wsj.net/public/resources/images/OG-AB120_DCWARD_G_20140403193551.jpg	4/1/2014	two	WSJ Washington Wire	http://blogs.wsj.com/washwire/2014/04/04/politics-counts-d-c-voting-spotlights-divide-among-democrats/	static
State of the Union versus public opinion		http://si.wsj.net/public/resources/images/NA-BZ881_POLCOU_G_20140131143905.jpg	1/1/2013	two	WSJ Washington Wire	http://blogs.wsj.com/washwire/2014/01/31/politics-counts-obamas-priorities-face-split-nation/	static
New Jersey's different		http://si.wsj.net/public/resources/images/NA-BY821B_POLCO_G_20131107184820.jpg	11/1/2013	two	WSJ A section	http://blogs.wsj.com/washwire/2013/11/08/politics-counts-no-easy-road-for-christie/	static
California and Texas are the same		http://si.wsj.net/public/resources/images/NA-BX769_POLCOU_J_20130823142058.jpg	8/1/2013	two	WSJ A section	http://blogs.wsj.com/washwire/2013/08/23/politics-counts-two-big-states-big-split-on-immigration/	static
Wartime votes along party lines are old hat	I embrace any excuse to use the WSJ's bitchin' stippled hedcuts.	http://si.wsj.net/public/resources/images/WO-AP415B_POLCO_G_20130913193740.jpg	9/1/2013	one	WSJ A section	http://blogs.wsj.com/washwire/2013/09/13/politics-counts-syria-vote-vs-iraq-kosovo-somalia/	static
Unequal South Africa	Here we have one of those charts I fought for from the ground up, and researched and built without any top-down guidance. Editors do not typically appreciate that sort of thing.	http://si.wsj.net/public/resources/images/WO-AS145_SAMINE_G_20140423185705.jpg	4/1/2014	one	WSJ A section		static
Cardex		http://robertandrew.github.io/cardex.html	12/31/2013	three	this site		interactive
Population trend of Japan		http://robertandrew.github.io/one.html	1/1/2014	three	this site		interactive
Population trend of the Phillipines		http://robertandrew.github.io/two.html	1/2/2014	three	this site		interactive
Population trend of Madagascar		http://robertandrew.github.io/three.html	1/3/2014	three	this site		interactive
Birth rate of Puerto Rico		http://robertandrew.github.io/fourone.html	1/4/2014	three	this site		interactive
Life expectancy in Afghanistan		http://robertandrew.github.io/five.html	1/5/2014	three	this site		interactive
New Zealand's fertility rate		http://robertandrew.github.io/six.html	1/6/2014	three	this site		interactive
American Samoa's population at some point		http://robertandrew.github.io/seven.html	1/7/2014	three	this site		interactive
Population of Argentina, by age		http://robertandrew.github.io/eight.html	1/8/2014	three	this site		interactive
Population of Equitorial Guinea, by age		http://robertandrew.github.io/nine.html	1/9/2014	three	this site		interactive
Some mysterious barcodes, which I dare you to scan		http://robertandrew.github.io/ten.html	1/10/2014	three	this site		interactive
Ratio of males to females in American Samoa, 2014, by age		http://robertandrew.github.io/eleven.html	1/11/2014	three	this site		interactive
Population density of Denmark, in people per square kilometer		http://robertandrew.github.io/twelve.html	1/12/2014	three	this site		interactive
Population of New Caledonia		http://robertandrew.github.io/thirteen.html	1/13/2014	three	this site		interactive
Population growth of Mongolia		http://robertandrew.github.io/fourteen.html	1/14/2014	three	this site		interactive
Deaths in Mongolia		http://robertandrew.github.io/fifteen.html	1/15/2014	three	this site		interactive
Population of Mongolia		http://robertandrew.github.io/sixteen.html	1/16/2014	three	this site		interactive
Birth rate of Mongolia		http://robertandrew.github.io/seventeen.html	1/17/2014	three	this site		interactive
Population density of Finland		http://robertandrew.github.io/eighteen.html	1/18/2014	three	this site		interactive
The area of Finland		http://robertandrew.github.io/nineteen.html	1/19/2014	three	this site		interactive
Gross fertility rate of Estonian women		http://robertandrew.github.io/twenty.html	1/20/2014	three	this site		interactive
Life expectancy of Estonian men		http://robertandrew.github.io/twentyone.html	1/21/2014	three	this site		interactive
Infant mortality in Estonia		http://robertandrew.github.io/twentytwo.html	1/22/2014	three	this site		interactive
Mortality under age 5 in South Africa		http://robertandrew.github.io/twentythree.html	1/23/2014	three	this site		interactive
African countries by area and population		http://robertandrew.github.io/twentyfour.html	1/24/2014	three	this site		interactive
Population of African countries, 2002		http://robertandrew.github.io/twentyfive.html	1/25/2014	three	this site		interactive
South Africa life expectancy		http://robertandrew.github.io/twentysix.html	1/26/2014	three	this site		interactive
South Africa infant mortality		http://robertandrew.github.io/twentyseven.html	1/27/2014	three	this site		interactive
Console sales		http://robertandrew.github.io/twentyeight.html	1/28/2014	three	this site		interactive
World university ranking		http://robertandrew.github.io/twentynine.html	1/29/2014	three	this site		interactive
Islands by size		http://robertandrew.github.io/thirty.html	1/30/2014	three	this site		interactive
Frequency of letters in the Finnish language		http://robertandrew.github.io/thirtyone.html	1/31/2014	three	this site		interactive
Frequency of letters in the French language		http://robertandrew.github.io/thirtytwo.html	2/1/2014	three	this site		interactive
Frequency of letters in written Spanish		http://robertandrew.github.io/thirtythree.html	2/2/2014	three	this site		interactive
Frequency of letters in written Swedish		http://robertandrew.github.io/thirtyfour.html	2/3/2014	three	this site		interactive
Frequency of letters in written Portuguese		http://robertandrew.github.io/thirtyfive.html	2/4/2014	three	this site		interactive
Frequency of letters in written Spanish and French		http://robertandrew.github.io/thirtysix.html	2/5/2014	three	this site		interactive
Frequency of letters in written Spanish and German		http://robertandrew.github.io/thirtyseven.html	2/6/2014	three	this site		interactive
Frequency of letters in written Spanish, Portuguese or French		http://robertandrew.github.io/thirtyeight.html	2/7/2014	three	this site		interactive
