series	year	month	date	value	type
CUSR0000SA0	1947	M01	01/01/1947	21.48	SA0
CUSR0000SA0	1947	M02	02/01/1947	21.62	SA0
CUSR0000SA0	1947	M03	03/01/1947	22	SA0
CUSR0000SA0	1947	M04	04/01/1947	22	SA0
CUSR0000SA0	1947	M05	05/01/1947	21.95	SA0
CUSR0000SA0	1947	M06	06/01/1947	22.08	SA0
CUSR0000SA0	1947	M07	07/01/1947	22.23	SA0
CUSR0000SA0	1947	M08	08/01/1947	22.4	SA0
CUSR0000SA0	1947	M09	09/01/1947	22.84	SA0
CUSR0000SA0	1947	M10	10/01/1947	22.91	SA0
CUSR0000SA0	1947	M11	11/01/1947	23.06	SA0
CUSR0000SA0	1947	M12	12/01/1947	23.41	SA0
CUSR0000SA0	1948	M01	01/01/1948	23.68	SA0
CUSR0000SA0	1948	M02	02/01/1948	23.67	SA0
CUSR0000SA0	1948	M03	03/01/1948	23.5	SA0
CUSR0000SA0	1948	M04	04/01/1948	23.82	SA0
CUSR0000SA0	1948	M05	05/01/1948	24.01	SA0
CUSR0000SA0	1948	M06	06/01/1948	24.15	SA0
CUSR0000SA0	1948	M07	07/01/1948	24.4	SA0
CUSR0000SA0	1948	M08	08/01/1948	24.43	SA0
CUSR0000SA0	1948	M09	09/01/1948	24.36	SA0
CUSR0000SA0	1948	M10	10/01/1948	24.31	SA0
CUSR0000SA0	1948	M11	11/01/1948	24.16	SA0
CUSR0000SA0	1948	M12	12/01/1948	24.05	SA0
CUSR0000SA0	1949	M01	01/01/1949	24.01	SA0
CUSR0000SA0	1949	M02	02/01/1949	23.91	SA0
CUSR0000SA0	1949	M03	03/01/1949	23.91	SA0
CUSR0000SA0	1949	M04	04/01/1949	23.92	SA0
CUSR0000SA0	1949	M05	05/01/1949	23.91	SA0
CUSR0000SA0	1949	M06	06/01/1949	23.92	SA0
CUSR0000SA0	1949	M07	07/01/1949	23.7	SA0
CUSR0000SA0	1949	M08	08/01/1949	23.7	SA0
CUSR0000SA0	1949	M09	09/01/1949	23.75	SA0
CUSR0000SA0	1949	M10	10/01/1949	23.67	SA0
CUSR0000SA0	1949	M11	11/01/1949	23.7	SA0
CUSR0000SA0	1949	M12	12/01/1949	23.61	SA0
CUSR0000SA0	1950	M01	01/01/1950	23.51	SA0
CUSR0000SA0	1950	M02	02/01/1950	23.61	SA0
CUSR0000SA0	1950	M03	03/01/1950	23.64	SA0
CUSR0000SA0	1950	M04	04/01/1950	23.65	SA0
CUSR0000SA0	1950	M05	05/01/1950	23.77	SA0
CUSR0000SA0	1950	M06	06/01/1950	23.88	SA0
CUSR0000SA0	1950	M07	07/01/1950	24.07	SA0
CUSR0000SA0	1950	M08	08/01/1950	24.2	SA0
CUSR0000SA0	1950	M09	09/01/1950	24.34	SA0
CUSR0000SA0	1950	M10	10/01/1950	24.5	SA0
CUSR0000SA0	1950	M11	11/01/1950	24.6	SA0
CUSR0000SA0	1950	M12	12/01/1950	24.98	SA0
CUSR0000SA0	1951	M01	01/01/1951	25.38	SA0
CUSR0000SA0	1951	M02	02/01/1951	25.83	SA0
CUSR0000SA0	1951	M03	03/01/1951	25.88	SA0
CUSR0000SA0	1951	M04	04/01/1951	25.92	SA0
CUSR0000SA0	1951	M05	05/01/1951	25.99	SA0
CUSR0000SA0	1951	M06	06/01/1951	25.93	SA0
CUSR0000SA0	1951	M07	07/01/1951	25.91	SA0
CUSR0000SA0	1951	M08	08/01/1951	25.86	SA0
CUSR0000SA0	1951	M09	09/01/1951	26.03	SA0
CUSR0000SA0	1951	M10	10/01/1951	26.16	SA0
CUSR0000SA0	1951	M11	11/01/1951	26.32	SA0
CUSR0000SA0	1951	M12	12/01/1951	26.47	SA0
CUSR0000SA0	1952	M01	01/01/1952	26.45	SA0
CUSR0000SA0	1952	M02	02/01/1952	26.41	SA0
CUSR0000SA0	1952	M03	03/01/1952	26.39	SA0
CUSR0000SA0	1952	M04	04/01/1952	26.46	SA0
