rank,prime,digits,year,type,
5758,469!-1,1051,1981,Factorial,
5682,872!+1,2188,1983,Factorial,
5189,2^132049-1,39751,1983,Mersenne,
5720,3229#+1,1368,1984,Primorial,
5711,4713*2^4713+1,1423,1984,Cullen,
5705,83*2^5318-1,1603,1984,Woodall,
5699,5795*2^5795+1,1749,1984,Cullen,
5691,4547#+1,1939,1984,Primorial,
5688,6611*2^6611+1,1994,1984,Cullen,
5686,4787#+1,2038,1984,Primorial,
5678,7755*2^7755-1,2339,1984,Woodall,
5663,S,2874,1984,Woodall,
5614,12379*2^12379-1,3731,1984,Woodall,
5607,1477!+1,4042,1984,Factorial,
5558,289*2^18502+1,5573,1984,other,
5760,R(1031),1031,1985,Repunit,
5139,2^216091-1,65050,1985,Mersenne,
5580,11549#+1,4951,1986,Primorial,
5583,7911*2^15823-1,4768,1987,Woodall,
5555,18885*2^18885-1,5690,1987,Woodall,
5549,13649#+1,5862,1987,Primorial,
5221,2^110503-1,33265,1988,Mersenne,
5754,(2^3539+1)/3,1065,1989,other,
5461,18523#+1,8002,1989,Primorial,
5738,U(5387),1126,1990,Fibonacci,
5732,546!-1,1260,1992,Factorial,
5698,4093#-1,1750,1992,Primorial,
5692,4297#-1,1844,1992,Primorial,
5689,4583#-1,1953,1992,Primorial,
5674,974!-1,2490,1992,Factorial,
5666,6569#-1,2811,1992,Primorial,
5557,13033#-1,5610,1992,Primorial,
5556,1963!-1,5614,1992,Factorial,
5508,15877#-1,6845,1992,Primorial,
5379,3507!-1,10912,1992,Factorial,
5054,2^756839-1,227832,1992,Mersenne,
5408,23801#+1,10273,1993,Primorial,
5405,24029#+1,10387,1993,Primorial,
5376,3610!-1,11277,1993,Factorial,
5046,2^859433-1,258716,1994,Mersenne,
5772,V(4787),1001,1995,Lucas,
5771,V(4793),1002,1995,Lucas,
5733,V(5851),1223,1995,Lucas,
5702,V(7741),1618,1995,Lucas,
5690,U(9311),1946,1995,Fibonacci,
5681,V(10691),2235,1995,Lucas,
5652,V(14449),3020,1995,Lucas,
5640,(2^10501+1)/3,3161,1996,other,
5615,(2^12391+1)/3,3730,1996,other,
2975,2^1257787-1,378632,1996,Mersenne,
1403,2^1398269-1,420921,1996,Mersenne,
5503,22971*2^22971-1,6920,1997,Woodall,
5502,23005*2^23005-1,6930,1997,Woodall,
5421,8073*2^32294+1,9726,1997,Cullen,
5419,32469*2^32469+1,9779,1997,Cullen,
5303,7457*2^59659+1,17964,1997,Cullen,
5252,90825*2^90825+1,27347,1997,Cullen,
5245,49363*2^98727-1,29725,1997,Woodall,
116,2^2976221-1,895932,1997,Mersenne,
5700,(2^5807+1)/3,1748,1998,other,
5630,(2^11279+1)/3,3395,1998,other,
5283,6380!+1,21507,1998,Factorial,
5272,6917!-1,23560,1998,Factorial,
5174,71509*2^143019-1,43058,1998,other,
5171,151023*2^151023-1,45468,1998,Woodall,
5133,262419*2^262419+1,79002,1998,Cullen,
