country,year,code,religion,value
Afghanistan,CY 2002,2026,Atheist,0
Afghanistan,CY 2003,1370,Atheist,0
Afghanistan,CY 2004,836,Atheist,0
Afghanistan,CY 2005,876,Atheist,0
Afghanistan,CY 2006,633,Atheist,6
Afghanistan,CY 2007,413,Atheist,0
Afghanistan,CY 2008,611,Atheist,0
Afghanistan,CY 2009,338,Atheist,1
Afghanistan,CY 2010,527,Atheist,0
Afghanistan,CY 2011,392,Atheist,0
Afghanistan,CY 2012,578,Atheist,6
Afghanistan,CY 2013,678,Atheist,1
Afghanistan,CY 2014,472,Atheist,6
Afghanistan,CY 2002,2026,Bahai,0
Afghanistan,CY 2003,1370,Bahai,11
Afghanistan,CY 2004,836,Bahai,1
Afghanistan,CY 2005,876,Bahai,0
Afghanistan,CY 2006,633,Bahai,1
Afghanistan,CY 2007,413,Bahai,0
Afghanistan,CY 2008,611,Bahai,0
Afghanistan,CY 2009,338,Bahai,0
Afghanistan,CY 2010,527,Bahai,8
Afghanistan,CY 2011,392,Bahai,0
Afghanistan,CY 2012,578,Bahai,4
Afghanistan,CY 2013,678,Bahai,2
Afghanistan,CY 2014,472,Bahai,1
Afghanistan,CY 2002,2026,Baptist,0
Afghanistan,CY 2003,1370,Baptist,0
Afghanistan,CY 2004,836,Baptist,0
Afghanistan,CY 2005,876,Baptist,0
Afghanistan,CY 2006,633,Baptist,0
Afghanistan,CY 2007,413,Baptist,0
Afghanistan,CY 2008,611,Baptist,1
Afghanistan,CY 2009,338,Baptist,0
Afghanistan,CY 2010,527,Baptist,0
Afghanistan,CY 2011,392,Baptist,0
Afghanistan,CY 2012,578,Baptist,0
Afghanistan,CY 2013,678,Baptist,0
Afghanistan,CY 2014,472,Baptist,0
Afghanistan,CY 2002,2026,Catholic,0
Afghanistan,CY 2003,1370,Catholic,0
Afghanistan,CY 2004,836,Catholic,0
Afghanistan,CY 2005,876,Catholic,0
Afghanistan,CY 2006,633,Catholic,0
Afghanistan,CY 2007,413,Catholic,0
Afghanistan,CY 2008,611,Catholic,1
Afghanistan,CY 2009,338,Catholic,0
Afghanistan,CY 2010,527,Catholic,0
Afghanistan,CY 2011,392,Catholic,0
Afghanistan,CY 2012,578,Catholic,0
Afghanistan,CY 2013,678,Catholic,4
Afghanistan,CY 2014,472,Catholic,0
Afghanistan,CY 2002,2026,Christian,16
Afghanistan,CY 2003,1370,Christian,14
Afghanistan,CY 2004,836,Christian,21
Afghanistan,CY 2005,876,Christian,5
Afghanistan,CY 2006,633,Christian,6
Afghanistan,CY 2007,413,Christian,3
Afghanistan,CY 2008,611,Christian,2
Afghanistan,CY 2009,338,Christian,16
Afghanistan,CY 2010,527,Christian,2
Afghanistan,CY 2011,392,Christian,21
Afghanistan,CY 2012,578,Christian,7
Afghanistan,CY 2013,678,Christian,2
Afghanistan,CY 2014,472,Christian,0
Afghanistan,CY 2002,2026,Evangelical Christian,0
Afghanistan,CY 2003,1370,Evangelical Christian,0
Afghanistan,CY 2004,836,Evangelical Christian,1
Afghanistan,CY 2005,876,Evangelical Christian,0
Afghanistan,CY 2006,633,Evangelical Christian,0
Afghanistan,CY 2007,413,Evangelical Christian,0
Afghanistan,CY 2008,611,Evangelical Christian,0
Afghanistan,CY 2009,338,Evangelical Christian,0
Afghanistan,CY 2010,527,Evangelical Christian,0
Afghanistan,CY 2011,392,Evangelical Christian,0
Afghanistan,CY 2012,578,Evangelical Christian,0
Afghanistan,CY 2013,678,Evangelical Christian,0
Afghanistan,CY 2014,472,Evangelical Christian,0
Afghanistan,CY 2002,2026,Hare Krishna,0
Afghanistan,CY 2003,1370,Hare Krishna,0
Afghanistan,CY 2004,836,Hare Krishna,0
Afghanistan,CY 2005,876,Hare Krishna,0
Afghanistan,CY 2006,633,Hare Krishna,0
Afghanistan,CY 2007,413,Hare Krishna,3
Afghanistan,CY 2008,611,Hare Krishna,0
Afghanistan,CY 2009,338,Hare Krishna,0
Afghanistan,CY 2010,527,Hare Krishna,0
Afghanistan,CY 2011,392,Hare Krishna,0
Afghanistan,CY 2012,578,Hare Krishna,0
Afghanistan,CY 2013,678,Hare Krishna,0
Afghanistan,CY 2014,472,Hare Krishna,0
Afghanistan,CY 2002,2026,Moslem,686
Afghanistan,CY 2003,1370,Moslem,350
Afghanistan,CY 2004,836,Moslem,111
Afghanistan,CY 2005,876,Moslem,90
Afghanistan,CY 2006,633,Moslem,107
Afghanistan,CY 2007,413,Moslem,43
Afghanistan,CY 2008,611,Moslem,21
Afghanistan,CY 2009,338,Moslem,40
Afghanistan,CY 2010,527,Moslem,74
Afghanistan,CY 2011,392,Moslem,41
