year	infantmort	maleexpectancy	femaleexpectancy
1989	47.6	61.4	67.4
1990	45.9	62	67.7
1991	44.4	62.4	67.9
1992	43.1	62.7	67.9
1993	42.3	62.8	67.7
1994	42.1	62.5	67.4
1995	42.5	61.8	66.9
1996	43.4	60.8	65.9
1997	44.6	59.5	64.5
1998	46	57.9	62.7
1999	47.2	56.2	60.6
2000	48	54.5	58.3
2001	48.5	52.9	55.9
2002	48.5	51.5	53.7
2003	48.2	50.4	51.6
2004	47.7	49.7	50.1
2005	47	49.4	49.2
2006	46.4	49.6	48.8
2007	45.8	49.7	48.6
2008	45.1	49.6	48.2
2009	44.4	49.8	48.1
2010	43.8	50.1	48.3
2011	43.2	50.2	48.4
2012	42.7	50.3	48.5
2013	42.2	50.4	48.5
2014	41.6	50.5	48.6
2015	41	50.7	48.7
2016	40.2	51	49
2017	39.3	51.3	49.2
2018	38.5	51.7	49.6
2019	37.6	52.1	49.9
2020	36.8	52.5	50.2
2021	36	52.9	50.6
2022	35.2	53.3	51
2023	34.4	53.7	51.3
2024	33.7	54.1	51.7
2025	33	54.5	52.1
2026	32.3	54.9	52.4
2027	31.6	55.3	52.8
2028	30.9	55.7	53.1
2029	30.3	56.1	53.5
2030	29.6	56.5	53.9
2031	29	56.9	54.2
2032	28.4	57.3	54.6
2033	27.8	57.7	54.9
2034	27.2	58.1	55.3
2035	26.6	58.4	55.7
2036	26.1	58.8	56.1
2037	25.5	59.2	56.5
2038	24.9	59.6	56.9
