id	year	month	date	value	type
LNS13023621	2004	M01	01/1/2004	4383	jobLosers
LNS13023621	2004	M02	02/1/2004	4276	jobLosers
LNS13023621	2004	M03	03/1/2004	4562	jobLosers
LNS13023621	2004	M04	04/1/2004	4334	jobLosers
LNS13023621	2004	M05	05/1/2004	4192	jobLosers
LNS13023621	2004	M06	06/1/2004	4105	jobLosers
LNS13023621	2004	M07	07/1/2004	4210	jobLosers
LNS13023621	2004	M08	08/1/2004	4003	jobLosers
LNS13023621	2004	M09	09/1/2004	4031	jobLosers
LNS13023621	2004	M10	10/1/2004	4069	jobLosers
LNS13023621	2004	M11	11/1/2004	4059	jobLosers
LNS13023621	2004	M12	12/1/2004	4026	jobLosers
LNS13023621	2005	M01	01/1/2005	4029	jobLosers
LNS13023621	2005	M02	02/1/2005	3904	jobLosers
LNS13023621	2005	M03	03/1/2005	3768	jobLosers
LNS13023621	2005	M04	04/1/2005	3637	jobLosers
LNS13023621	2005	M05	05/1/2005	3610	jobLosers
LNS13023621	2005	M06	06/1/2005	3642	jobLosers
LNS13023621	2005	M07	07/1/2005	3580	jobLosers
LNS13023621	2005	M08	08/1/2005	3454	jobLosers
LNS13023621	2005	M09	09/1/2005	3749	jobLosers
LNS13023621	2005	M10	10/1/2005	3539	jobLosers
LNS13023621	2005	M11	11/1/2005	3515	jobLosers
LNS13023621	2005	M12	12/1/2005	3483	jobLosers
LNS13023621	2006	M01	01/1/2006	3349	jobLosers
LNS13023621	2006	M02	02/1/2006	3366	jobLosers
LNS13023621	2006	M03	03/1/2006	3399	jobLosers
LNS13023621	2006	M04	04/1/2006	3505	jobLosers
LNS13023621	2006	M05	05/1/2006	3473	jobLosers
LNS13023621	2006	M06	06/1/2006	3369	jobLosers
LNS13023621	2006	M07	07/1/2006	3313	jobLosers
LNS13023621	2006	M08	08/1/2006	3283	jobLosers
LNS13023621	2006	M09	09/1/2006	3233	jobLosers
LNS13023621	2006	M10	10/1/2006	3125	jobLosers
LNS13023621	2006	M11	11/1/2006	3275	jobLosers
