country	ag	industrial	municipal	cultivated	area	population	totalwater	waterpercap	irrigation
Afghanistan	20	0.1695	0.2034	12.13	65223	33397000	20.28	823.1	0
Albania	0.5176	0.2318	0.5613	24.21	2875	3227000	1.311	413.6	0.5176
Algeria	3.502	0.9509	1.581	3.535	238174	36486000	5.723	182	3.502
Andorra	0	0	0	5.319	47	88000	0	0	0
Angola	0.1467	0.2396	0.3195	3.521	124670	20163000	0.7058	40.27	0.1467
Antigua and Barbuda	0.0013	0.0018	0.0053	11.36	44	91000	0.0084	97.67	0.0013
Argentina	21.52	4.396	7.82	14.04	278040	41119000	32.57	864.9	0
Armenia	1.153	0.125	0.843	16.26	2974	3109000	2.941	946	0
Australia	7.359	2.4	3.52	6.211	774122	22919000	22.58	1152	6.596
Austria	0.1	2.695	0.608	17.02	8388	8429000	3.657	452.4	0
Azerbaijan	10.1	2.36	0.521	24.4	8660	9421000	11.97	1271	0
Bahamas	0	0	0	0.9366	1388	351000	0	0	0
Bahrain	0.1592	0.0203	0.1779	5.737	76	1359000	0.3574	386	0
Bangladesh	31.5	0.77	3.6	59.22	14400	152409000	35.87	235.4	0
Barbados	0.0548	0.0264	0.0198	30.23	43	275000	0.101	371.3	0.0548
Belarus	0.114	2.268	1.134	27.22	20760	9527000	4.338	435.4	0
Belgium	0.037	5.451	0.728	27.78	3053	10788000	6.216	589.8	0
Belize	0.1023	0.11	0.01	4.658	2297	324000	0.2223	845.2	0.1023
Benin	0.059	0.03	0.041	25.1	11476	9352000	0.13	18.74	0.045
Bhutan	0.318	0.003	0.017	2.943	3839	750000	0.338	450.7	0
Bolivia	1.777	0.401	0.7291	3.691	109858	10248000	2.644	305.8	1.777
Bosnia and Herzegovina	0	0.0488	0.3218	21.62	5121	3744000	0.329	87.87	0
Botswana	0.08	0.0389	0.0878	0.4487	58173	2053000	0.194	107.3	0.029
Brazil	31.7	10.14	16.23	9.281	851488	198361000	58.07	306	0
Brunei Darussalam	0.0053	0	0.1515	1.386	577	413000	0.092	301.6	0.0053
Bulgaria	0.996	4.145	0.978	30.72	11100	7398000	6.119	827.1	0.3155
Burkina Faso	0.4207	0.0217	0.3756	21.02	27422	17482000	0.7157	54.99	0.4207
Burundi	0.222	0.015	0.0431	47.43	2783	8749000	0.288	43.27	0.2
Cote d'Ivoire	0.5953	0.318	0.6359	22.64	32246	20595000	1.549	83.07	0.5953
Cambodia	2.053	0.033	0.098	22.95	18104	14478000	2.184	159.8	1.928
Cameroon	0.737	0.1046	0.2468	15.99	47544	20469000	0.9664	58.9	0.737
Canada	4.749	31.57	8.99	4.797	998467	34675000	42.2	1589	4.749
Cape Verde	0.025	0	0.0016	12.41	403	505000	0.022	48.57	0.025
Central African Republic	0	0.012	0.0601	3.018	62298	4576000	0.0725	17.42	0
Chad	0.6722	0.1037	0.1037	3.841	128400	11831000	0.8796	84.81	0.6722
Chile	22.89	2.61	1.172	2.346	75610	17423000	26.67	1603	22.89
China	358	128.6	67.53	13.16	960000	1384656000	554.1	409.9	0
Colombia	5.867	0.5822	7.845	3.502	114175	47551000	12.65	308	5.867
Comoros	0.0047	0	0.0048	75.23	186.1	773000	0.01	16.86	0
Congo	0.004	0.024	0.0637	1.637	34200	4233000	0.046	13.99	0
Cook Islands	0	0	0	12.5	24	21000	0	0	0
Costa Rica	4.073	0.46	0.79	11.35	5110	4794000	5.772	1582	3.2
Croatia	0.0086	0.086	0.534	17.31	5659	4387000	0.6286	143.3	0.011
Cuba	3.569	0.7607	1.187	35.85	10989	11249000	4.424	392.6	0
Cyprus	0.159	0.006	0.019	12.59	925	1129000	0.184	163	0.158
Czech Republic	0.04	0.96	0.709	41.08	7887	10566000	1.699	164.7	0.023
Democratic People's Republic of Korea	6.61	1.145	0.9028	20.78	12054	24554000	8.658	360.6	0
Democratic Republic of the Congo	0.0719	0.1468	0.4649	3.222	234486	69575000	0.6836	11.25	0.0719
Denmark	0.238	0.036	0.386	58.09	4309	5593000	0.66	118	0.183
Djibouti	0.003	0	0.016	0.0862	2320	923000	0.019	24.84	0.0025
Dominica	0	0	0	32	75	68000	0.0166	244.1	0
Dominican Republic	3.949	0.0795	1.444	25.68	4867	10183000	5.473	574.2	3.949
Ecuador	8.076	0.549	1.293	9.892	25637	14865000	9.918	716.1	8.076
Egypt	59	4	5.3	3.66	100145	83958000	68.3	973.3	0
El Salvador	1.176	0.2561	0.4098	42.54	2104	6264000	1.842	301.9	1.176
Equatorial Guinea	0.001	0.003	0.0158	7.13	2805	740000	0.0174	31.41	0
